Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-41,,DA,S,26,40-41,259.7306297,1.61,361,,77.29241667,10.50558333,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29241666666667 10.505583333333334, 77.29366666666667 10.503444444444444)"
T.NO-42,,DA,S,26,41-42,273.8923146,1.12,358,,77.29366667,10.50344444,GOOD,GOOD,NO,"2nos LT, 22KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29366666666667 10.503444444444444, 77.29502777777778 10.501083333333334)"
T.NO-43,,DC,T,26,42-43,299.6681498,1.16,356,"19°27'25.11""",77.29502778,10.50108333,GOOD,GOOD,NO,2nos LT,"2nos TAAR ROAD, NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29502777777778 10.501083333333334, 77.29530555555556 10.499388888888888)"
T.NO-44,,DA,S,26,43-44,189.0819928,0.8,356,,77.29530556,10.49938889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29530555555556 10.499388888888888, 77.29569444444444 10.497444444444444)"
T.NO-45,,DA,S,26,44-45,218.0825532,1.04,350,,77.29569444,10.49744444,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29569444444444 10.497444444444444, 77.29608333333333 10.495444444444443)"
T.NO-46,,DC,T,26,45-46,225.3375246,0.71,346,"28°51'17.03""",77.29608333,10.49544444,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29608333333333 10.495444444444443, 77.29705555555556 10.494305555555554)"
T.NO-47,,DB,T,24,46-47,166.0662518,1.68,351,"0°58'1.03""",77.29705556,10.49430556,GOOD,GOOD,NO,CANAL,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29705555555556 10.494305555555554, 77.29797222222221 10.493222222222222)"
T.NO-48,,DD,T,28,47-48,155.2191998,0.87,357,"32°58'22.27""",77.29797222,10.49322222,GOOD,GOOD,YES,"LT,22KV",2nos TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29797222222221 10.493222222222222, 77.29808333333334 10.493194444444443)"
110KV GANTRY ELAYAMUTHUR,2W,GANTRY,GANTRY,20,48-GANTRY,14.56021978,,352,,77.29808333,10.49319444,GOOD,MISSING,,,,SS,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,                     30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
