S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
71,70,,Tension,DB+0,24,1-2,268,1.5,357, 1°57’4.49”RT,11.27406389,76.89333611,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89333611111111 11.27406388888889, 76.89178333333334 11.274688888888889)"
72,71,,Tension,DB+0,24,2-3,186,3,356, 11°59’5.15”RT,11.27468889,76.89178333,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89178333333334 11.274688888888889, 76.89047222222223 11.27563888888889)"
73,72-LILO-THUDIYALUR-PYKRA,3W,Tension,DD+0,28,3-4,186,6.9,355, 140°14’26.3”LT,11.27563889,76.89047222,OK,OK,-,-,Plain,LILO POINT - THUDIYALUR  & SANDINALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89047222222223 11.27563888888889, 76.89102777777778 11.273791666666668)"
74,1,,Tension,DD+0,28,4-5,220,6.56,366, 0°11’50.56”RT,11.27379167,76.89102778,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89102777777778 11.273791666666668, 76.89115277777779 11.273211111111111)"
75,2,,Tension,Gantry,15,5-6,69,6.9,345, 6°20’55.55”RT,11.27321111,76.89115278,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89115277777779 11.273211111111111, 76.89125833333334 11.272677777777778)"
76,3,,Tension,Gantry,15,6-7,65,7.2,339, 1°41’35.89”RT,11.27267778,76.89125833,OK,OK,230kv Power House 3- Karamadai,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89125833333334 11.272677777777778, 76.8913 11.272208333333333)"
77,4,,Tension,DD+0,28,7-8,56,6,336, 6°15’37.5”LT,11.27220833,76.8913,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.8913 11.272208333333333, 76.89208611111111 11.268983333333335)"
78,5,,Suspension,DA+0,26,8-9,373,7.5,344,,11.26898333,76.89208611,OK,OK,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89208611111111 11.268983333333335, 76.89263055555556 11.266675000000001)"
79,6,,Suspension,DA+0,26,9-10,265,5.1,348,,11.266675,76.89263056,OK,OK,33kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89263055555556 11.266675000000001, 76.89335277777778 11.263625)"
80,7,,Suspension,DA+0,26,10-11,351,6,340,,11.263625,76.89335278,OK,OK,Two LT,Two Mud Roads,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89335277777778 11.263625, 76.89402777777778 11.260827777777777)"
81,8,,Suspension,DA+0,26,11-12,323,5.7,340,,11.26082778,76.89402778,OK,OK,Two LT,Tar Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89402777777778 11.260827777777777, 76.89475277777778 11.257866666666667)"
82,9,,Suspension,DA+0,26,12-13,344,4.3,344,,11.25786667,76.89475278,OK,OK,Two LT,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89475277777778 11.257866666666667, 76.89548055555557 11.254697222222223)"
83,10,,Suspension,DA+0,26,13-14,363,5.6,352,,11.25469722,76.89548056,OK,OK,-,Two Mud Roads,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89548055555557 11.254697222222223, 76.89594444444445 11.252825)"
84,11,2W,Tension,DB+0,24,14-15,215,8.2,359, 0°22’40.3”LT,11.252825,76.89594444,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89594444444445 11.252825, 76.89656111111111 11.250344444444444)"
85,12,,Suspension,DA+0,26,15-16,292,8.4,340,,11.25034444,76.89656111,OK,OK,Three 33kv,Two Tar Roads,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89656111111111 11.250344444444444, 76.89734444444446 11.246858333333332)"
