S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
54,53,DB,24,52-53,,272.7946763543486,0.42,675,"08°49'43""(RT)",12.64969,78.03261,GOOD,GOOD,"LT LLINE CROSSING,11KV-6","SAND ROAD CROSSING, GRANITE COMPANY AREA(TOWER INSIDE COMPOUND WALL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03261 12.64969, 78.03477 12.64874)"
55,54,DA,26,53-54,,257.33970046882416,0.39,667,,12.64874,78.03477,GOOD,GOOD,11KV-1,"PIT AREA CROSSING,HILLS AREA",AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03477 12.64874, 78.03699 12.64781)"
56,55,DA,26,54-55,,262.4306639736434,0.45,666,,12.64781,78.03699,GOOD,GOOD,LT-1,"HILLS AREA,PIT AREA CROSSING",AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03699 12.64781, 78.03958 12.64675)"
57,56,DA,26,55-56,,305.0939244142954,1.23,654,,12.64675,78.03958,GOOD,GOOD,LT-1,"TAR ROAD CROSSING,HILLS AREA,CANAL CROSSING",AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03958 12.64675, 78.04136 12.64598)"
58,57,DA,26,56-57,,211.48918770903487,2.69,650,,12.64598,78.04136,GOOD,GOOD,LT-2,"HILLS AREA,MANGO FARM HOSUR",AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04136 12.64598, 78.04333 12.64517)"
59,58,DA,26,57-58,,232.22019582115962,0.46,648,,12.64517,78.04333,GOOD,GOOD,,"MANGO FARM HOSUR LAND,HILLS AREA",AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04333 12.64517, 78.04551 12.64426)"
60,59,DA,26,58-59,,257.5626045127817,1.13,656,,12.64426,78.04551,GOOD,GOOD,,"HILLS AREA,TOWER IN HILLS, AGRICULTURE LAND NEXT TOWER IN HILLS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04551 12.64426, 78.04773 12.64333)"
61,60,DB,24,59-60,,262.4320966617036,0.79,770,,12.64333,78.04773,GOOD,GOOD,,"HILLS AREA,TOWER IN HILLS,STONE QUARY CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04773 12.64333, 78.04962 12.64248)"
62,61,DA,26,60-61,,226.03045475988802,2.35,660,,12.64248,78.04962,GOOD,GOOD,,"TOWER INSIDE THE QUARY,PIT CROSSING,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04962 12.64248, 78.05131 12.64175)"
63,62,DA,26,61-62,,200.74934510636214,1.06,646,,12.64175,78.05131,GOOD,GOOD,11KV-1,"TAR ROAD CROSSING, HILLS AREA, PIT CROSSING, CANAL CROSSING, TOWER ISIDE A COMPANY LIBERTY GRANITE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05131 12.64175, 78.05391 12.64058)"
64,63,DB,24,62-63,,310.9737691520041,0.36,653,,12.64058,78.05391,GOOD,GOOD,,"TOWER IN HILLS AREA, HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05391 12.64058, 78.05486 12.64019)"
65,64,DA,26,63-64,,111.95908809452251,0.76,661,,12.64019,78.05486,GOOD,GOOD,"11KV-1, LT-1",TOWER IN HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05486 12.64019, 78.05661 12.63938)"
66,65,DA,26,64-65,,210.35964362812683,0.81,655,,12.63938,78.05661,GOOD,GOOD,LT-1,"PIT CROSSING, HILLS AREA,TOWER IN HILLS,RIVER CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05661 12.63938, 78.05915 12.63823)"
67,66,DA,26,65-66,,304.12206808611074,0.91,635,,12.63823,78.05915,GOOD,GOOD,,TOWER IN HILLS,AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05915 12.63823, 78.06171 12.63708)"
68,67,DB,24,66-67,,306.09876615136454,1.09,634,,12.63708,78.06171,GOOD,GOOD,,TOWER IN HILLS,AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06171 12.63708, 78.06439 12.63591)"
69,68,DA,26,67-68,,318.9042299904246,0.61,642,,12.63591,78.06439,GOOD,GOOD,LT-2,"HILLS AREA, TOWER IN HILLS, TAR ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06439 12.63591, 78.06583 12.63527)"
70,69,DA,26,68-69,,171.86575158752825,5.74,650,,12.63527,78.06583,GOOD,GOOD,LT-2,"PIT CROSSING,TOWER IN HILLS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06583 12.63527, 78.06767 12.63445)"
71,70,DA,26,69-70,,219.70800943877794,0.59,645,,12.63445,78.06767,GOOD,GOOD,,"MANGO FARM HOSUR, HILLS AREA, DOWN PLACE TO HILLS AREA GOING IN LINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06767 12.63445, 78.07015 12.63334)"
72,71,DD,28,70-71,,296.3477778730012,0.61,669,"39°27'47""(RT)",12.63334,78.07015,GOOD,GOOD,,"HILLS AREA, SMALLL FOREST, SAND ROAD CROSSING, TOWER IN HILLS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07015 12.63334, 78.07111 12.63141)"
73,72,DA,26,71-72,,237.82568908387225,1.11,649,,12.63141,78.07111,GOOD,GOOD,,"HILLS AREA, TOWER IN MANGO FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07111 12.63141, 78.07223 12.62938)"
74,73,DA,26,72-73,,255.63770149350827,2.05,646,,12.62938,78.07223,GOOD,GOOD,,"HILLS AREA, TOWER IN MANGO FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07223 12.62938, 78.07336 12.62729)"
75,74,DA,26,73-74,,262.00621040224513,0.71,633,,12.62729,78.07336,GOOD,GOOD,LT LINE CROSSING,"HILLS AREA,SAND ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07336 12.62729, 78.07452 12.62521)"
76,75,DA,26,74-75,,262.5803381220106,1.59,628,,12.62521,78.07452,GOOD,GOOD,,HILLS AREA,AGRICULTURE LAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07452 12.62521, 78.07567 12.62308)"
77,76,DA,26,75-76,,266.93814710503574,0.99,627,,12.62308,78.07567,GOOD,GOOD,LT-1,HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07567 12.62308, 78.07662 12.6213)"
78,77,DA,26,76-77,,222.5157367823295,0.43,630,,12.6213,78.07662,GOOD,GOOD,11KV LINE CROSSING,"HILLS AREA, SAND ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07662 12.6213, 78.078 12.6188)"
79,78,DC,26,77-78,,314.86168701182305,1.15,631,"18°47'26""(LT)",12.6188,78.078,GOOD,GOOD,,"PIT CROSSING, TOWER IN HILLS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.078 12.6188, 78.08006 12.61693)"
80,79,DA,26,78-79,,305.0362688319618,2.41,622,,12.61693,78.08006,GOOD,GOOD,LT-1,"TAR ROAD CROSSING, SAND ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08006 12.61693, 78.08199 12.61517)"
81,80,DA,26,79-80,,278.59773089970906,1.93,628,,12.61517,78.08199,GOOD,GOOD,,SMALL HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08199 12.61517, 78.08391 12.61346)"
