S.NO,Tower No, Supspension/Tenion,TOWER TYPE,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
48,T.NO-46,S,DA,26,45-46,281.6558183315232,2.1,366,,77.30766666666666,10.679166666666665,GOOD,GOOD,,MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30766666666666 10.679166666666665, 77.30955555555555 10.679444444444444)"
49,T.NO-47,S,DA,26,46-47,210.76052761368766,2.8,363,,77.30955555555555,10.679444444444444,GOOD,GOOD,LT,"MUD ROAD, CANAL",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30955555555555 10.679444444444444, 77.31152777777777 10.679833333333333)"
50,T.NO-48,S,DA,26,47-48,217.29703173306348,3.16,364,,77.31152777777777,10.679833333333333,GOOD,GOOD,400KV DC LINE CROSSING ABOVE OUR LINE,CANAL,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31152777777777 10.679833333333333, 77.31425 10.68025)"
51,T.NO-49,S,DA,26,48-49,303.1517771678075,3.45,371,,77.31425,10.68025,GOOD,GOOD,"LT,11KV",,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31425 10.68025, 77.31652777777778 10.680638888888888)"
52,T.NO-50,T,DD,28,49-50,252.23005372080465,3.91,373,"34°29'31.12""",77.31652777777778,10.680638888888888,GOOD,GOOD,11KV,MUD ROAD,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31652777777778 10.680638888888888, 77.31672222222223 10.68086111111111)"
53,T.NO-51,T,DD,34,50-51,32.526911934581186,3.08,369,"43°36'50.70""",77.31672222222223,10.68086111111111,GOOD,GOOD,110KV SC LINE CROSSING BELOW OUR LINE,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31672222222223 10.68086111111111, 77.31786111111111 10.680888888888889)"
54,T.NO-52,T,DB,24,51-52,124.03628501370073,3.82,368,"8°46'6.06""",77.31786111111111,10.680888888888889,GOOD,GOOD,,POND,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31786111111111 10.680888888888889, 77.31969444444444 10.681194444444444)"
55,T.NO-53,S,DA,26,52-53,204.1984329028996,3.6,368,,77.31969444444444,10.681194444444444,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31969444444444 10.681194444444444, 77.32258333333333 10.68163888888889)"
56,T.NO-54,S,DA,26,53-54,320.41379495895615,3.8,365,,77.32258333333333,10.68163888888889,GOOD,GOOD,2nos 11KV,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32258333333333 10.68163888888889, 77.32516666666666 10.682138888888888)"
57,T.NO-55,S,DA,26,54-55,285.545092761196,2.6,367,,77.32516666666666,10.682138888888888,GOOD,GOOD,"LT,11KV",TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32516666666666 10.682138888888888, 77.32791666666667 10.682583333333334)"
