Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs)As per tower schedule ,Span length (mtrs),Difference (T Schedule - Span length Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Latitude,Longitude,,,,,Horizontal Angle(˚),"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,,,,,,
44,GCR/S ,S,25.64,43 TO 44 ,251,257.97092972200966,=F50-G50,4.3,493,12.32385,78.12315,,,,,,GOOD,GOOD,LT LINE CROSSING -2,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12315 12.32385, 78.12057 12.32439)",,,,,,,,,,,,,,,,,,,
45,HCR/T,T,24.64,44 TO45 ,286,287.1495600001854,=F51-G51,4.8,500,12.32439,78.12057,2W,,,,4⁰35′36″   RT,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12057 12.32439, 78.118081 12.32512)",,,,,,,,,,,,,,,,,,,
46,GCR/S ,S,25.64,45 TO 46 ,279,282.69542243894233,=F52-G52,5.6,500,12.32512,78.118081,,,,,,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.118081 12.32512, 78.11563 12.325835)",,,,,,,,,,,,,,,,,,,
47,GCR/S ,S,25.64,46 TO 47 ,271,278.3522947633089,=F53-G53,5.1,479,12.325835,78.11563,,,,,,GOOD,GOOD,,ROAD,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11563 12.325835, 78.113189 12.326432)",,,,,,,,,,,,,,,,,,,
48,HCR/T,T,24.64,47 TO 48 ,281,273.8357171736368,=F54-G54,6.6,499,12.326432,78.113189,,,,,21⁰53′4″   LT,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.113189 12.326432, 78.11105 12.32614)",,,,,,,,,,,,,,,,,,,
49,KCR/T,T,26.24,48 TO 49 ,239,235.081548550585,=F55-G55,1,506,12.32614,78.11105,,,,,3⁰48′39″   RT,GOOD,NO,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11105 12.32614, 78.10963 12.32604)",,,,,,,,,,,,,,,,,,,
50,HCR/S,S,24.64,49 TO 50 ,151,154.97640066093905,=F56-G56,6.5,502,12.32604,78.10963,,,,,,GOOD,GOOD,"750 kv S/C ,Dharmapuri to-Madugiri Line  ",,Agri land,"750 kv S/C ,Dharmapuri to-Madugiri Line  ",,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10963 12.32604, 78.10783 12.32587)",,,,,,,,,,,,,,,,,,,
51,HCR/T,T,24.64,50 TO51 ,195,196.84925761184158,=F57-G57,7.5,502,12.32587,78.10783,,,,,3⁰24′26″    RT,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10783 12.32587, 78.10531 12.32578)",,,,,,,,,,,,,,,,,,,
52,KCR/T,T,26.24,51 TO 52,277,274.5078694391481,=F58-G58,5.8,505,12.32578,78.10531,,,,,25⁰57′19″  RT,GOOD,GOOD,LT LINE CROSSING ,ROAD,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10531 12.32578, 78.10315 12.32672)",,,,,,,,,,,,,,,,,,,
53,GCR/S ,S,25.64,52 TO 53,263,257.13987213288004,=F59-G59,6.8,504,12.32672,78.10315,,,,,,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10315 12.32672, 78.10152 12.32746)",,,,,,,,,,,,,,,,,,,
