Tower No,JOINT BOX,Tower Type,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
34,,SB,T,24,33-34,204,204.207435,0.62,179,"05°21'44""(RT)",11.31288,78.01245,GOOD,GOOD,LT-1,"SAND ROAD CROSSING, TAR ROAD CROSSING",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01245 11.31288, 78.0149 11.3119)"
35,,SA,S,26,34-35,293,288.8660471,0.94,180,,11.3119,78.0149,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0149 11.3119, 78.01717 11.31093)"
36,,SA,S,26,35-36,271,270.2967787,0.42,185,,11.31093,78.01717,GOOD,GOOD,,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01717 11.31093, 78.01955 11.30993)"
37,2W,SD,T,28,36-37,284,282.6523324,0.24,191,"32°10'50""(RT)",11.30993,78.01955,GOOD,GOOD,,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01955 11.30993, 78.02 11.30929)"
38(DP-1),,SD,T,26,37-38,87,86.24924989,,193,"25°31'23""(LT)",11.30929,78.02,GOOD,GOOD,"DP-1 TO DP-2, NO EARTH WIRE(220KV LINE CROSS) DISTANCE 4M, CONDUCTOR TO CONDUCTOR, EARTHWIRE GOING UNDERGROUND, 220 KV LINE CROSSING","T.NO:166 TO 167, T.NO:37 TO 38 AND 39 TO 40 USING ADS CABLE ONLY",,DRUMSTICK FARM CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02 11.30929, 78.02071 11.30889)"
39(DP-2),,SB,T,24,38-39,93,89.33318227,,195,"00°00'00""",11.30889,78.02071,GOOD,GOOD,,,,"TOWER INSIDE DRUMSTICK FARM, AGRICULTURE LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02071 11.30889, 78.02191 11.30825)"
40,,SD,T,28,39-40,152,149.0469962,0.46,196,"20°21'14""(LT)",11.30825,78.02191,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02191 11.30825, 78.024631 11.307871)"
41,,SA,S,26,40-41,302,300.2742504,0.98,198,,11.307871,78.024631,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.024631 11.307871, 78.02738 11.30745)"
42,,SA,S,26,41-42,306,303.9820444,1.89,198,,11.30745,78.02738,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02738 11.30745, 78.03005 11.30706)"
43,,SA,S,26,42-43,294,294.9323575,0.17,201,,11.30706,78.03005,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03005 11.30706, 78.03274 11.30668)"
44,,SB,T,24,43-44,298,296.9352048,0.81,203,"00°00'00""",11.30668,78.03274,GOOD,GOOD,"22KV-1, LT-1",SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03274 11.30668, 78.03573 11.30625)"
45,,SD,T,28,44-45,333,330.1708953,0.26,198,"01°22'09""(LT)",11.30625,78.03573,GOOD,GOOD,,SAND ROAD CROSSING-2,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03573 11.30625, 78.0379 11.30599)"
46,,SD,T,30,45-46,241,238.8589191,0.11,193,"09°50'11""(RT)",11.30599,78.0379,GOOD,GOOD,LT-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0379 11.30599, 78.04076 11.30514)"
47,,SD,T,32,46-47,327,326.3769741,60.1,186,"20°22'58""(LT)",11.30514,78.04076,GOOD,GOOD,"22KV-1, LT-1",SH-94 HIGHWAY CROSSING(NAMAKKAL TO TIRUCHENGODE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04076 11.30514, 78.04124 11.30517)"
ELANAGAR GANTRY SS,2W,T,T,20,47-GANTRY,56,52.55510904,,186,,11.30517,78.04124,GOOD,NO,LT-1,,FENCING CROSSING,TAPPING TOWER IN AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Length,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
