Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms) (Ω),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
58,,DA,34,57-58,270,257.7171258,3.23,851,,12.66408,77.87547,Good,Good,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87547 12.66408, 77.87412 12.66208)"
59,,DA,34,58-59,270,265.657098,2.39,855,,12.66208,77.87412,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87412 12.66208, 77.87282 12.66002)"
60,,DC,34,59-60,265,268.3167473,4.53,861,"33°04'10""(LT)",12.66002,77.87282,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87282 12.66002, 77.87287 12.65783)"
61,,DA,34,60-61,320,242.5304563,4.93,860,,12.65783,77.87287,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87287 12.65783, 77.87296 12.6553)"
62,,DA,34,61-62,230,280.28402,3.35,861,,12.6553,77.87296,Good,Good,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87296 12.6553, 77.87299 12.65324)"
63,,DC+3,37,62-63,220,228.0996371,5.52,861,"50°04'07""(RT)",12.65324,77.87299,Good,Good,,SAND ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87299 12.65324, 77.87104 12.65159)"
64,2W,DB+3,35,63-64,220,279.856137,4.64,861,"15°10'19""(LT)",12.65159,77.87104,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87104 12.65159, 77.86964 12.64955)"
65,,DA,34,64-65,300,272.3626439,4.92,851,,12.64955,77.86964,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86964 12.64955, 77.86845 12.64809)"
66,,DA+3,37,65-66,300,207.0469325,5.32,841,,12.64809,77.86845,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86845 12.64809, 77.86701 12.64619)"
67,,DC,34,66-67,300,262.2269376,3.51,838,"47°50'32""(LT)",12.64619,77.86701,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86701 12.64619, 77.86752 12.64368)"
68,,DA,34,67-68,280,283.3752416,3.21,837,,12.64368,77.86752,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86752 12.64368, 77.86794 12.64133)"
69,,DA,34,68-69,289,264.1596782,4.56,839,,12.64133,77.86794,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86794 12.64133, 77.86853 12.63862)"
70,,DB,32,69-70,220,306.8214773,4.33,834,"28°27'15""(RT)",12.63862,77.86853,Good,Good,11KV-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86853 12.63862, 77.868 12.63685)"
71,,DA,34,70-71,248,204.2643827,4.32,838,,12.63685,77.868,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.868 12.63685, 77.86743 12.63507)"
72,,DC,34,71-72,170,206.5895752,3.39,832,"32°20'18""(LT)",12.63507,77.86743,Good,Good,LT-1,TAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86743 12.63507, 77.86812 12.63252)"
73,,DA+3,37,72-73,280,292.1237951,4.27,824,,12.63252,77.86812,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86812 12.63252, 77.8687 12.62972)"
74,,DB,32,73-74,318,316.3543467,4.78,823,"05°20'12""(LT)",12.62972,77.8687,Good,Good,"11KV-2,LT-1",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8687 12.62972, 77.86948 12.6271)"
75,,DB,32,74-75,271,302.2200842,5.53,834,"27°11'11""(RT)",12.6271,77.86948,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86948 12.6271, 77.86908 12.62506)"
76,,DB,32,75-76,270,230.0103401,4.37,821,"03°58'20""(LT)",12.62506,77.86908,Good,Good,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86908 12.62506, 77.86872 12.62215)"
77,,DA,34,76-77,270,324.5529243,3.47,816,,12.62215,77.86872,Good,Good,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86872 12.62215, 77.86849 12.61967)"
78,2W,DB,32,77-78,270,275.7122826,4.33,822,"15°17'15""(LT)",12.61967,77.86849,Good,Good,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86849 12.61967, 77.86893 12.61724)"
79,,DA,34,78-79,267,273.2607944,4.59,818,,12.61724,77.86893,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86893 12.61724, 77.86935 12.61491)"
80,,DA,34,79-80,230,261.9796627,5.43,823,,12.61491,77.86935,Good,Good,"11KV-1,LT-1",KELAMANGALAM TO UTHANNAPALLI ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86935 12.61491, 77.86978 12.61244)"
