Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
155,S,26,156-155,324,325.22064749450243,3.16,243,,11.59173,78.56824,GOOD,GOOD,"LT LINE CROSSING,33KV LINE CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56824 11.59173, 78.56626 11.59299)"
154,S,28,155-154,258,257.1412629445056,5.84,244,"39⁰38'59"" RT",11.59299,78.56626,GOOD,GOOD,33KV LINE CROSSING,CANAL CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56626 11.59299, 78.56602 11.59374)"
ATTUR GANTRY A,T,20,154-ATTUR GANTRY A,86,87.03656038745085,,246,,11.59374,78.56602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTUR GANTRY B,T,20,ATTUR GANTRY A-ATTUR GANTRY B,,5.505669022879529,,246,,11.59378,78.56599,,,33KV LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56599 11.59378, 78.56568 11.59467)"
153,T,28,A GANTRY B-153,104,104.14372200071145,3.61,243,"53⁰19'42"" LT",11.59467,78.56568,GOOD,GOOD,"LT LINE CROSSING,33KV LINE CROSSING", ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56568 11.59467, 78.56368 11.5953)"
152,T,24,153-152,228,229.0956647948364,1.76,238,"0⁰51'55"" LT",11.5953,78.56368,GOOD,GOOD,LT LINE CROSSING 2,,CANNAL CROSSING,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56368 11.5953, 78.5607 11.59619)"
151,S,26,152-151,340,339.75079705367006,1.33,236,,11.59619,78.5607,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5607 11.59619, 78.55776 11.59706)"
150,S,26,151-150,334,334.93281674934207,2.05,238,,11.59706,78.55776,GOOD,GOOD,LT LINE CROSSING 2,,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55776 11.59706, 78.55491 11.59793)"
149,S,26,150-149,325,325.5390958765054,7.83,241,,11.59793,78.55491,GOOD,GOOD,LT LINE CROSSING 2,SAND ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55491 11.59793, 78.55229 11.59872)"
148,S,26,149-148,298,298.9486482786984,3.76,241,,11.59872,78.55229,GOOD,GOOD,LT LINE CROSSING 2,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55229 11.59872, 78.54927 11.59962)"
147,S,26,148-147,344,344.24780450492983,6.91,239,,11.59962,78.54927,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54927 11.59962, 78.54659 11.60042)"
