Tower No,,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 49,,,S,DA,26,48-49,268.8289419,6.82,349,,77.06755556,10.79297222,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06755555555556 10.792972222222222, 77.06866666666666 10.790888888888889)"
T.NO 50,,,T,DB,24,49-50,258.11819,5.7,357,"2°20'13""",77.06866667,10.79088889,GOOD,GOOD,320KV,,CULTIVACTION,PUGALUR-TRISSUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06866666666666 10.790888888888889, 77.06972222222223 10.788694444444443)"
T.NO 51,,,S,DA,26,50-51,270.6011826,6.13,347,,77.06972222,10.78869444,GOOD,GOOD,11KV,CANAL,CULTIVACTION, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06972222222223 10.788694444444443, 77.07083333333333 10.786388888888888)"
T.NO 52,,,S,DA,26,51-52,282.6517292,8.2,343,,77.07083333,10.78638889,GOOD,GOOD,"LT,11KV",TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07083333333333 10.786388888888888, 77.07188888888888 10.784222222222223)"
T.NO 53,,,S,DA,26,52-53,265.2036953,5.9,338,,77.07188889,10.78422222,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07188888888888 10.784222222222223, 77.07327777777778 10.781333333333334)"
T.NO 54,,,S,DA,26,53-54,355.562934,5.61,329,,77.07327778,10.78133333,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07327777777778 10.781333333333334, 77.07424999999999 10.779333333333334)"
T.NO 55,,,S,DA,26,54-55,243.7416665,6.95,328,,77.07425,10.77933333,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07424999999999 10.779333333333334, 77.07552777777778 10.776750000000002)"
T.NO 56,,,S,DA,26,55-56,318.8683114,6.18,323,,77.07552778,10.77675,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07552777777778 10.776750000000002, 77.07630555555555 10.775361111111112)"
T.NO 1 MC DEVANAMPALAYAM LILO,,3W,T,MB,45,56-1,175.5135322,5.63,316,"6°5'25""",77.07630556,10.77536111,GOOD,GOOD,"LT,11KV",,CULTIVACTION,DEVANAMPALAYAM LILO NEED 4WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07630555555555 10.775361111111112, 77.07680555555555 10.77413888888889)"
T.NO 57,,,T,DC,26,Jan-57,146.931957,5.63,314,"29°12'49""",77.07680556,10.77413889,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07680555555555 10.77413888888889, 77.07916666666667 10.772305555555556)"
T.NO 58,,,S,DA,26,57-58,326.6221058,6.12,323,,77.07916667,10.77230556,GOOD,GOOD,LT,TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07916666666667 10.772305555555556, 77.08116666666666 10.770833333333334)"
T.NO 59,,,S,DA,26,58-59,273.8046749,5.7,329,,77.08116667,10.77083333,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08116666666666 10.770833333333334, 77.0833611111111 10.769194444444445)"
T.NO 60,,,S,DA,26,59-60,300.2032645,4.6,330,,77.08336111,10.76919444,GOOD,GOOD,"LT,11KV",,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0833611111111 10.769194444444445, 77.08536111111111 10.767694444444444)"
