S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
56,90,HCR T,DB,24,91-90,250,238.7467438819653,3.71,478,"16°40'28""(RT)",12.44475,78.30893,GOOD,GOOD,,LAKE CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30893 12.44475, 78.30785 12.44285)"
57,89,GCR S,DA,26,90-89,230,236.1048251794834,1.65,474,,12.44285,78.30785,GOOD,GOOD,,,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30785 12.44285, 78.30656 12.44058)"
58,88,GCR S,DA,26,89-88,250,288.34637655030446,0.84,474,,12.44058,78.30656,GOOD,GOOD,,SAND ROAD CROSSING,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30656 12.44058, 78.30558 12.43879)"
59,87,GCR S,DA,26,88-87,250,224.5710069925109,0.56,478,,12.43879,78.30558,GOOD,GOOD,"LT LINE-1,11KV LINE-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30558 12.43879, 78.30453 12.43699)"
60,86,HCR T,DC,26,87-86,250,229.6815476910794,0.49,480,"17°48'59""(LT)",12.43699,78.30453,GOOD,GOOD,,SAND ROAD CROSSING,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30453 12.43699, 78.30407 12.4345)"
61,85,GCR S,DA,26,86-85,250,283.3933784818598,0.91,418,,12.4345,78.30407,GOOD,GOOD,,ROCK AREA,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30407 12.4345, 78.3035 12.43227)"
62,84,HCR T,DC,26,85-84,250,250.98911971138006,2.91,473,"30°47'37""(RT)",12.43227,78.3035,GOOD,GOOD,LT LINE CROSSING,,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3035 12.43227, 78.30195 12.43059)"
63,83,HCR+3 T,DC+3,,84-83,235,255.2197724157055,3.28,473,"25°15'32""(LT)",12.43059,78.30195,GOOD,GOOD,,"SAND ROAD CROSSING, CANAL CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30195 12.43059, 78.30128 12.42868)"
64,82,KCR T,DD,28,83-82,250,221.30267024577364,1.85,476,"30°02'00""(LT)",12.42868,78.30128,GOOD,GOOD,,"CANAL CROSSING,FENCING INSIDE TOWER",HILLS AREA,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30128 12.42868, 78.30167 12.42692)"
65,81,HCR T,DB,24,82-81,200,199.39785256944106,1.55,481,"08°53'41""(RT)",12.42692,78.30167,GOOD,GOOD,LT LINE CROSSING,,SMALL HILLS,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30167 12.42692, 78.30179 12.42493)"
66,80,HCR T,DB,24,81-80,220,220.678079730045,4.72,478,"11°53'35""(LT)",12.42493,78.30179,GOOD,GOOD,,SMALL HILLS CROSSING,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30179 12.42493, 78.30236 12.42288)"
67,79,HCR+3 T,DB+3,27,80-79,240,235.25490402025017,2.53,479,"11°24'52""(RT)",12.42288,78.30236,GOOD,GOOD,LT LINE CROSSING,,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30236 12.42288, 78.30253 12.42041)"
68,78,HCR T,DB,24,79-78,265,274.05182811095085,1.84,477,"04°48'47""(LT)",12.42041,78.30253,GOOD,GOOD,,TAR ROAD CROSSING,SMALL HILLS AREA,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30253 12.42041, 78.30292 12.4179)"
69,77,GCR+3 S,DA,26,78-77,285,281.07629038435675,1.19,479,,12.4179,78.30292,GOOD,GOOD,,TAR ROAD CROSSING,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30292 12.4179, 78.30328 12.41558)"
70,76,KCR T,DD,28,77-76,280,259.7916887764604,0.85,477,"37°55'23""(LT)",12.41558,78.30328,GOOD,GOOD,,,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30328 12.41558, 78.30527 12.41373)"
71,75,KCR T,DD,28,76-75,300,298.03076725097293,1.47,472,"38°21'18""(RT)",12.41373,78.30527,GOOD,GOOD,,SMALL ROCK AREA,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30527 12.41373, 78.3056 12.41149)"
72,74,GCR S,DA,26,75-74,245,250.55154961763319,1.53,471,,12.41149,78.3056,GOOD,GOOD,,,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3056 12.41149, 78.3059 12.40947)"
73,73,HCR T,DB,24,74-73,245,225.98149850345277,2.59,471,"13°14'57""(LT)",12.40947,78.3059,GOOD,GOOD,,SMALL ROAD CROSSING,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3059 12.40947, 78.30676 12.40733)"
74,72,KCR+3 T,DC+3,29,73-72,255,254.70690833923936,1.61,464,"37°37'38""(RT)",12.40733,78.30676,GOOD,GOOD,"LT LINE-1,33KV LINE-1",TAR ROAD CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30676 12.40733, 78.3067 12.40676)"
75,01(LILO POINT),KCR T,DB,24,72-01 LILO,,63.43508766771631,3.95,464,"08°25'16""(RT)",12.40676,78.3067,GOOD,GOOD,CIRCUIT-1 ONE SIDE GOING TO PANEESWARAMADAM TO BURGUR S.S. CIRCUIT-2 GOING ON KARIYAMANGALAM TO THUVARAPALLI S.S,,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3067 12.40676, 78.30637 12.40549)"
76,71,HCR+3 T,DB+3,27,01 LILO-71,200,145.10032994188416,0.67,467,,12.40549,78.30637,GOOD,GOOD,,SMALL HILLS AREA,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30637 12.40549, 78.30583 12.40347)"
77,70,GCR S,DA,26,71-70,240,231.20221665135944,1.78,470,,12.40347,78.30583,GOOD,GOOD,,SMALL STONE CROSSING,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30583 12.40347, 78.30525 12.40147)"
78,69,GCR S,DA,26,70-69,240,230.2167068212372,0.71,472,,12.40147,78.30525,GOOD,GOOD,,,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30525 12.40147, 78.30466 12.3993)"
79,68,KCR T,DD,28,69-68,240,248.64709091942325,0.62,475,"46°17'14""(RT)",12.3993,78.30466,GOOD,GOOD,,,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30466 12.3993, 78.30275 12.39827)"
80,67,HCR T,DB,24,68-67,240,237.05336274499177,0.038,472,"10°34'31""(RT)",12.39827,78.30275,GOOD,GOOD,,SMALL ROAD CROSSING,AGRICULTURE LAND,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30275 12.39827, 78.30024 12.39746)"
81,66,HCR T,DD,28,67-66,290,287.46210899458833,2.71,472,"28°13'12""(LT)",12.39746,78.30024,GOOD,GOOD,,SAND ROAD CROSSING,,MANGO FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30024 12.39746, 78.29868 12.39585)"
