S. No ,Tower No,Supspension/Tension,Tower Type,Circuit,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
73,T.NO 55,T,DB,DC,24,54-55,YES,227.2003521124032,8.45,339,"6°26'22""",77.22208333333333,11.106805555555555,GOOD,GOOD,NO,"3nos LT,11kv",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22208333333333 11.106805555555555, 77.22416666666666 11.107555555555555)"
74,T.NO 56,S,DA,DC,26,55-56,NO,244.9693858423946,6.75,341,,77.22416666666666,11.107555555555555,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22416666666666 11.107555555555555, 77.22577777777778 11.108166666666666)"
75,T.NO 57,S,DA,DC,26,56-57,NO,185.52088831180168,5.7,342,,77.22577777777778,11.108166666666666,GOOD,GOOD,NO,"LT,11kv","MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22577777777778 11.108166666666666, 77.22777777777777 11.108888888888888)"
76,T.NO 58,T,DB,DC,24,57-58,NO,233.2659426491574,4.35,334,"3°41'7""",77.22777777777777,11.108888888888888,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22777777777777 11.108888888888888, 77.22975 11.109499999999999)"
77,T.NO 59,S,DA,DC,26,58-59,YES,227.1079038695043,5.2,332,,77.22975,11.109499999999999,GOOD,GOOD,NO,2nos LT,"MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22975 11.109499999999999, 77.23166666666667 11.110055555555554)"
78,T.NO 60,S,DA,DC,26,59-60,NO,217.26711670199887,3.9,335,,77.23166666666667,11.110055555555554,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23166666666667 11.110055555555554, 77.23366666666666 11.110694444444444)"
79,T.NO 61,S,DA,DC,26,60-61,YES,229.91520175925731,6.9,333,,77.23366666666666,11.110694444444444,GOOD,GOOD,NO,"LT,11kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23366666666666 11.110694444444444, 77.23563888888889 11.111305555555555)"
80,T.NO 62,T,DB,DC,24,61-62,NO,226.75316976836288,5.5,333,"0°57'36""",77.23563888888889,11.111305555555555,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23563888888889 11.111305555555555, 77.23736111111111 11.111777777777778)"
81,T.NO 63,S,DA,DC,26,62-63,NO,194.24726510301247,7.15,331,,77.23736111111111,11.111777777777778,GOOD,GOOD,NO,3nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23736111111111 11.111777777777778, 77.23925 11.112388888888889)"
82,T.NO 64 LILO POOMALUR,T,DD,DC,28,63-64Lilo,YES,217.88299612406655,6.5,334,"70°47'3""",77.23925,11.112388888888889,GOOD,GOOD,NO,11kv,TAAR ROAD,PLAIN,"NEED JUNCTION BOX. 2 EARTH WIRE. ONE EARTH WIRE CONTINUE TO OUR T.NO-55 LILO , ANOTHER EARTH WIRE CONNECT TO POOMALUR 110KV TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23925 11.112388888888889, 77.23930555555556 11.114888888888888)"
