Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs)As per Tower Schedule ,,Sapn  Length (mtrs),Difference between span length,Latitude,Longitude,,,,,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,,,,,,,,
58,PB/T,T,20.85,57 TO 58 ,,279,,274.58484363625115,=G64-I64,12.29217,78.21001,,,,,5.8,464,"35⁰27'21""  LT",good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21001 12.29217, 78.20908 12.29481)",,,,,,,,,,,,,,,,,,,,,
59,PB +3/T,T,23.85,58 TO 59,,275,,298.206478068462,=G65-I65,12.29481,78.20908,,,,,6.3,467,"22⁰49'36""  RT",good,good,LT LINE CROSSING ,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20908 12.29481, 78.20924 12.29723)",,,,,,,,,,,,,,,,,,,,,
60,KCR/T,T,26.24,59 TO 60,,287,,268.7591749335926,=G66-I66,12.29723,78.20924,,,,,3.8,470,"18⁰8'55""  RT",good,good,LT LINE CROSSING ,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20924 12.29723, 78.21024 12.29968)",,,,,,,,,,,,,,,,,,,,,
61,GCR +3/S,S,28.64,60 TO 61 ,,300,,292.26212622367325,=G67-I67,12.29968,78.21024,,,,,5.8,464,,good,good,LT LINE CROSSING ,ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21024 12.29968, 78.21116 12.30194)",,,,,,,,,,,,,,,,,,,,,
62,KCR/T,T,26.24,61 TO 62 ,,293,,269.49720184735656,=G68-I68,12.30194,78.21116,,,,,6.2,468,"35⁰58'35""  LT",good,good,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21116 12.30194, 78.21077 12.30346)",,,,,,,,,,,,,,,,,,,,,
63,KCR/T,T,26.24,62  TO 63 ,,180,,173.5469029742489,=G69-I69,12.30346,78.21077,,,,,5.4,470,"44⁰56'28""  RT",good,good,,ROAD,,Vellichandai tower - 2,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21077 12.30346, 78.2114 12.3045)",,,,,,,,,,,,,,,,,,,,,
64,KCR/T,T,26.24,63 TO 64,,150,,134.01274564804763,=G70-I70,12.3045,78.2114,,,,,6.3,468,"131⁰4'19""  RT",good,good,,,,Vellichandai tower 1,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2114 12.3045, 78.21144 12.30438)",,,,,,,,,,,,,,,,,,,,,
DHARMAPURI GANTRY,GANTRY,T,20,64-GANTRY,,,,13.980186649819085,=G71-I71,12.30438,78.21144,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total,,=SUM(G7:G71),,=SUM(I7:I71),=G72-I72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
