Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,
T.NO-149,DA,S,26,150-149,310.5752726795873,5.09,296,,77.44945194,11.20040916,GOOD,GOOD,NO,11KV CUM LT,"TAAR ROAD,MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44945194 11.20040916, 77.44706681 11.199751)",,,,,,,,,,,,,,
T.NO-148,DA,S,26,149-148,270.60118255469615,7.11,294,,77.44706681,11.199751,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44706681 11.199751, 77.44470128 11.19924628)",,,,,,,,,,,,,,
T.NO-147,DA,S,26,148-147,264.43902888945877,8.15,295,,77.44470128,11.19924628,GOOD,GOOD,NO,,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44470128 11.19924628, 77.441766 11.19846607)",,,,,,,,,,,,,,
T.NO-146/1 LILO 110KV KUNNATHUR,DD,T,28,147-146/1,332.14605221197496,6.08,288,"76°45'32.20""",77.441766,11.19846607,GOOD,GOOD,NO,"11KV CUM LT,LT","TAAR ROAD,NALA",CULTIVATION,NEED 3 WAY JUNCTION BOX.2 EARTH WIRE ON THIS TOWER.1 EARTH WIRE CONTINUE TO OUR LINE ANOTHER EARTH WIRE CONNECTED FROM ARASUR T.NO-145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.441766 11.19846607, 77.441775 11.198466)",,,,,,,,,,,,,,
146/1 Arasur  lilo ,T ,26,,,3,283,,1,77.441775,11.198466,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.441775 11.198466, 77.440975 11.199959)",,,,,,,,,,,,,,
2,T ,26,146/1 lilo to 2,186.9268570609734,3.2,286,"6°30'5"" LT",2,77.440975,11.199959,GOOD,LT - 1,Tar Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.440975 11.199959, 77.439898 11.201513)",,,,,,,,,,,,,,
3,T,24,2 to 3,208.38747632447294,3.5,289,"11°14'10"" LT",3,77.439898,11.201513,GOOD,LT - 1,Sand Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.439898 11.201513, 77.438447 11.202915)",,,,,,,,,,,,,,
4,S,26,3 to 4,221.83297142980803,4.1,292,,4,77.438447,11.202915,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.438447 11.202915, 77.437197 11.204038)",,,,,,,,,,,,,,
5,S,26,4 to 5,184.66165088673125,3.6,294,,5,77.437197,11.204038,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.437197 11.204038, 77.435712 11.205448)",,,,,,,,,,,,,,
6,T ,24,5 to 6,225.11444851198286,4.5,297,"1°24'24"" RT",6,77.435712,11.205448,GOOD,11 KV -1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.435712 11.205448, 77.433881 11.207274)",,,,,,,,,,,,,,
7,T ,24,6 to 7,284.360282849524,4.2,297,"5°53'40"" LT",7,77.433881,11.207274,GOOD,"LT - 1 , 11 Kv -1",Tar road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.433881 11.207274, 77.433231 11.207801)",,,,,,,,,,,,,,
8,T ,24,7 to 8,91.8988351463608,5.3,298,"4°4'58"" RT",8,77.433231,11.207801,GOOD,,Highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.433231 11.207801, 77.432636 11.208358)",,,,,,,,,,,,,,
9,T ,26,8 to 9,89.58902958634297,3.8,299,"21°7'39"" LT",9,77.432636,11.208358,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.432636 11.208358, 77.431584 11.208785)",,,,,,,,,,,,,,
10,T ,24,9 to 10 ,124.27802913870032,4.7,300,"0°21'6"" RT",10,77.431584,11.208785,GOOD,,Tar road,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.431584 11.208785, 77.430199 11.209357)",,,,,,,,,,,,,,
11,T ,26,10 to 11,164.03366067587942,3.4,303,"20°13'53"" LT",11,77.430199,11.209357,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.430199 11.209357, 77.429212 11.209399)",,,,,,,,,,,,,,
12,T ,26,11 to 12,107.94087299896364,6.7,305,"27°46'13"" LT",12,77.429212,11.209399,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.429212 11.209399, 77.42825 11.20895)",,,,,,,,,,,,,,
70/13 Kunnathur lilo,T ,26,12 to 70/13 lilo,116.26284723822963,7.1,307,,13,77.42825,11.20895,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
