S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
70,T.NO-68,T,DD,31,67-68,109.29318368498559,5.1,295,,12.2866,78.7891,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7891 12.2866, 78.7906 12.2867)"
71,T.NO-69,S,DA,26,68-69,163.44112089679268,12.17,296,,12.2867,78.7906,RUSTED,GOOD,LT-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7906 12.2867, 78.7938 12.2869)"
72,T.NO-1 LILO,T,DD,34,69-1 LILO,349.6927222576987,5.12,296,"72°29'45"" ",12.2869,78.7938,GOOD,GOOD,,,PLAIN,NEED THREE WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7938 12.2869, 78.794 12.2878)"
73,T.NO-2,T,DD,31,1 LILO-2,99.92497185388645,6.34,283,"4°32'16"" ",12.2878,78.794,GOOD,GOOD,,MUD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.794 12.2878, 78.7948 12.29)"
74,T.NO-3,T,DD,31,2-3,259.3067681338071,8.87,286,"3°8'11"" ",12.29,78.7948,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7948 12.29, 78.7957 12.2924)"
75,T.NO-4,T,DD,34,3-4,277.4310725207254,8.32,286,"11°9'19"" ",12.2924,78.7957,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7957 12.2924, 78.7961 12.2948)"
76,T.NO-5,T,DD,34,4-5,276.55740814521675,9.73,284,"5°22'8"" ",12.2948,78.7961,GOOD,GOOD,LT-1,SH-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7961 12.2948, 78.7968 12.2974)"
77,T.NO-6,T,DD,28,5-6,294.0901222414653,11.63,284,"3°45'7"" ",12.2974,78.7968,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7968 12.2974, 78.7977 12.2999)"
78,T.NO-7,T,DD,28,6-7,296.0439156611735,8.29,284,"3°44'39"" ",12.2999,78.7977,GOOD,GOOD,LT-1,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7977 12.2999, 78.7985 12.3026)"
79,T.NO-8,T,DD,28,7-8,308.65028754238995,9.25,283,"14°43'18"" ",12.3026,78.7985,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7985 12.3026, 78.7985 12.3045)"
80,T.NO-9,T,DD,28,8-9,214.03737991294884,8.77,287,"39°17'55"" ",12.3045,78.7985,GOOD,GOOD,,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7985 12.3045, 78.7972 12.3061)"
81,T.NO-10,T,DD,28,9-10,227.86399452304877,8.32,287,"37°25'56"" ",12.3061,78.7972,GOOD,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7972 12.3061, 78.796 12.3064)"
82,T.NO-11,T,DD,28,10-11,137.27709204379295,5.6,287,"44°14'24"" ",12.3064,78.796,GOOD,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.796 12.3064, 78.7951 12.3059)"
83,T.NO-12,T,DD,28,11-12,115.43396380615195,2.29,285,"9°3'59"" ",12.3059,78.7951,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7951 12.3059, 78.7949 12.3058)"
84,GANTRY CHENGAM 110KV SS,GANTRY,,15,12-GT,20.615528128088304,,285,,12.3058,78.7949,GOOD,,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G89),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
