Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
272,SA,34,273-272,,326.81,3.1,156,,12.096480569821907,79.00969908567443,GOOD,GOOD,NIL,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00969908567443 12.096480569821907, 79.01050835298484 12.093856217493743)"
271,SA,34,272-271,,303.441,4.7,151,,12.093856217493743,79.01050835298484,GOOD,GOOD,"HT-1,LT-1",NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01050835298484 12.093856217493743, 79.01128911438623 12.091358192514594)"
270,SA,34,271-270,,289.167,6.2,150,,12.091358192514594,79.01128911438623,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01128911438623 12.091358192514594, 79.01204217342793 12.088878041252425)"
269,SA,34,270-269,,286.4,2.2,150,,12.088878041252425,79.01204217342793,GOOD,GOOD,LT-1,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01204217342793 12.088878041252425, 79.01284139990133 12.086362062223992)"
268,SA,34,269-268,,291.66,5.6,145,,12.086362062223992,79.01284139990133,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01284139990133 12.086362062223992, 79.01361312422091 12.083836843398927)"
267,SA,34,268-267,,291.76,6.5,148,,12.083836843398927,79.01361312422091,GOOD,GOOD,NIL,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01361312422091 12.083836843398927, 79.01431854754543 12.081582296757729)"
266,SA,34,267-266,,261.007,7.2,148,,12.081582296757729,79.01431854754543,GOOD,GOOD,HT-2,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01431854754543 12.081582296757729, 79.01509003789427 12.079084182323182)"
265,SC,34,266-265,,288.882,5.7,147,"19*48'37""LT",12.079084182323182,79.01509003789427,GOOD,GOOD,"HT-1,LT-1",NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01509003789427 12.079084182323182, 79.01661094386598 12.07707947955451)"
264,SA,34,265-264,,276.812,4.6,145,,12.07707947955451,79.01661094386598,GOOD,GOOD,LT-1,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01661094386598 12.07707947955451, 79.01812244347796 12.07510181290614)"
263,SA,34,264-263,,273.804,3.8,148,,12.07510181290614,79.01812244347796,GOOD,GOOD,HT1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01812244347796 12.07510181290614, 79.01968974931073 12.073025109527428)"
262,SA,34,263-262,,286.22,2.8,147,,12.073025109527428,79.01968974931073,GOOD,GOOD,"HT-1,LT-1",NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01968974931073 12.073025109527428, 79.02154435898103 12.070588900716396)"
261,SA,34,262-261,,336.81,1.2,144,,12.070588900716396,79.02154435898103,GOOD,GOOD,NIL,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02154435898103 12.070588900716396, 79.02315785607678 12.068467305674952)"
260,SA,34,261-260,,293.209,2.2,142,,12.068467305674952,79.02315785607678,GOOD,GOOD,LT-1,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02315785607678 12.068467305674952, 79.0249199087218 12.066120791054832)"
259,SA,34,260-259,,322.832,1.2,140,,12.066120791054832,79.0249199087218,GOOD,GOOD,"HT-1,LT-1",NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0249199087218 12.066120791054832, 79.0264775252182 12.064098194357433)"
258,SA,34,259-258,,280.8,2.3,146,,12.064098194357433,79.0264775252182,GOOD,GOOD,NIL,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0264775252182 12.064098194357433, 79.02791481557513 12.06220127101504)"
257,SA,34,258-257,,261.813,6.2,145,,12.06220127101504,79.02791481557513,GOOD,GOOD,NIL,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02791481557513 12.06220127101504, 79.02944463857702 12.060205568964504)"
256,SA,34,257-256,,276.602,4.5,140,,12.060205568964504,79.02944463857702,GOOD,GOOD,NIL,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02944463857702 12.060205568964504, 79.0309005145903 12.058272601236245)"
255,SA,34,256-255,,266.221,3.8,143,,12.058272601236245,79.0309005145903,GOOD,GOOD,NIL,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0309005145903 12.058272601236245, 79.03265337592194 12.055907874258404)"
254,SA,34,255-254,,323.867,3.5,138,,12.055907874258404,79.03265337592194,GOOD,GOOD,NIL,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03265337592194 12.055907874258404, 79.03433109910517 12.053768562828173)"
253,SC,34,254-253,,299,4.8,144,"11*50'42""LT",12.053768562828173,79.03433109910517,GOOD,GOOD,LT-1,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03433109910517 12.053768562828173, 79.03649356145075 12.051894768421802)"
252,SA,34,253-252,,313.746,5.7,142,"0*22'03""RT",12.051894768421802,79.03649356145075,GOOD,GOOD,NIL,NIL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03649356145075 12.051894768421802, 79.0378521283235 12.050702219089281)"
LILO 251,T,34,252-251,,198.237,4.6,144,,12.050702219089281,79.0378521283235,GOOD,GOOD,NIL,NIL,PLAIN,SANKARAPURAM LILO TOWER POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,=SUM(F8:F83),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
