S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
190,156,,Tension,SB+0,24,159-160,260,7.1,331,12°42’57.04”LT,12.73672778,78.65603889,,,,,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6560388888889 12.736727777777777, 78.65609166666667 12.734016666666665)"
191,157,,Tension,SB+0,24,160-161,306,4.3,332,7°33’30.18”RT,12.73401667,78.65609167,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65609166666667 12.734016666666665, 78.65580277777778 12.731566666666668)"
192,158,,Suspension,SA+0,26,161-162,277,3.2,334,,12.73156667,78.65580278,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65580277777778 12.731566666666668, 78.65554722222222 12.729341666666667)"
193,159,,Tension,SC+0,26,162-163,252,5.4,335,15°23’50.56”LT,12.72934167,78.65554722,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65554722222222 12.729341666666667, 78.65569166666667 12.728438888888888)"
194,160,,Tension,SD+0,28,163-164,106,7.1,336,73°53’43.56”LT,12.72843889,78.65569167,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65569166666667 12.728438888888888, 78.65790555555556 12.728161111111111)"
195,161,,Tension,SC+0,26,164-,246,6.7,339,18°24’0.56”RT,12.72816111,78.65790556,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65790555555556 12.728161111111111, 78.660075 12.727102777777779)"
196,162,,Tension,SC+0,26,-,267,6.1,338,22°22’57.39”LT,12.72710278,78.660075,,,,,GOOD,GOOD,"Two 11kv, Two LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.660075 12.727102777777779, 78.66178055555557 12.726980555555556)"
197,163,,Tension,SD+0,28,-,191,7.2,336,33°48’29.8”LT,12.72698056,78.66178056,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66178055555557 12.726980555555556, 78.66457222222223 12.7287)"
198,164,3W,Tension,DD+3,31,-,363,8,335,,12.7287,78.66457222,,,,,Rusted Old Tower,GOOD,"Two 11kv, 110kv ","CTR, Canal",Plain,LILO Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : From Vinnamangalam SS to Loc.no.164  is Common portion for Pakkam - Vinnamangalam & Vaniyambadi - Vinnamangalam and both lines are having their own numbers on same towers. Hence this portion is not mentioned in pakkam - vinnamangalam line as this portion is considered in vaniyambadi - vinnamangalam line with different numbering.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
