Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,
T.NO 56,T,DB,24,55-56,238.10335299189677,6.87,69,"14°13'14""",79.76275,12.62788888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76275 12.62788888888889, 79.76052777777778 12.627444444444444)",,,,,,,,,,,,,
T.NO 57,S,DA,26,56-57,246.5402207378661,6.53,59,,79.76052777777778,12.627444444444444,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76052777777778 12.627444444444444, 79.75852777777777 12.626944444444446)",,,,,,,,,,,,,
T.NO 58,T,DD,28,57-58,225.83104767802868,6.22,58,"36°51'10""",79.75852777777777,12.626944444444446,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75852777777777 12.626944444444446, 79.75591666666666 12.628166666666667)",,,,,,,,,,,,,
T.NO 59,S,DA,26,58-59,316.3173005085512,6.12,59,,79.75591666666666,12.628166666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75591666666666 12.628166666666667, 79.75344444444444 12.629194444444446)",,,,,,,,,,,,,
T.NO 60,S,DA,26,59-60,291.71291680969387,6.37,63,,79.75344444444444,12.629194444444446,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75344444444444 12.629194444444446, 79.75122222222222 12.63013888888889)",,,,,,,,,,,,,
T.NO 61,T,DB,24,60-61,264.2812184718082,5.86,60,"10°50'49""",79.75122222222222,12.63013888888889,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75122222222222 12.63013888888889, 79.74880555555556 12.630722222222223)",,,,,,,,,,,,,
T.NO 62,S,DA,26,61-62,271.675081970986,4.51,64,,79.74880555555556,12.630722222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74880555555556 12.630722222222223, 79.74619444444444 12.631333333333334)",,,,,,,,,,,,,
T.NO 63,S,DA,26,62-63,292.29023327259017,4.98,58,,79.74619444444444,12.631333333333334,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74619444444444 12.631333333333334, 79.74413888888888 12.631805555555555)",,,,,,,,,,,,,
T.NO 64,S,DA,26,63-64,230.21169254643183,5.31,63,,79.74413888888888,12.631805555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74413888888888 12.631805555555555, 79.74163888888889 12.632361111111111)",,,,,,,,,,,,,
T.NO 65,T,DB,24,64-65,278.2525924134885,4.56,68,"1°25'44""",79.74163888888889,12.632361111111111,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74163888888889 12.632361111111111, 79.74036111111111 12.632694444444445)",,,,,,,,,,,,,
