S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,T.NO 16,2W,T,DD,28,15-16,241,18.56,89,"44°39'27""",79.60633333,12.56102778,Yes,,GOOD,GOOD,,,"WATER LOGGED,POND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60633333333332 12.56102777777778, 79.60469444444443 12.559555555555557)"
16,T.NO 15,,S,DA,26,14-15,254,,90,,79.60469444,12.55955556,,,GOOD,GOOD,,,"WATER LOGGED,POND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60469444444443 12.559555555555557, 79.60294444444443 12.55802777777778)"
15,T.NO 14,,S,DA,26,13-14,244,,91,,79.60294444,12.55802778,,,GOOD,GOOD,,,"WATER LOGGED,POND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60294444444443 12.55802777777778, 79.60127777777777 12.556583333333334)"
14,T.NO 13,,S,DA,26,01-12-2013 00:00,248,,92,,79.60127778,12.55658333,,,GOOD,GOOD,,,"WATER LOGGED,POND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60127777777777 12.556583333333334, 79.5996111111111 12.555055555555557)"
13,T.NO 12,,S,DA,26,11-12-2025 00:00,248,6.88,89,,79.59961111,12.55505556,,,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5996111111111 12.555055555555557, 79.59794444444444 12.553500000000001)"
12,T.NO 11,,T,DC,26,10-11-2025 00:00,208,4.38,91,"26°56'6""",79.59794444,12.5535,,,GOOD,GOOD,,MUDROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59794444444444 12.553500000000001, 79.5961111111111 12.553)"
11,T.NO 10,,S,DA,26,09-10-2025 00:00,173,8.15,95,,79.59611111,12.553,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5961111111111 12.553, 79.59458333333333 12.552583333333335)"
10,T.NO 9,,T,DB,24,08-09-2025 00:00,209,17.1,95,"10°18'27""",79.59458333,12.55258333,,,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59458333333333 12.552583333333335, 79.5928611111111 12.551722222222223)"
9,T.NO 8,,S,DA,26,07-08-2025 00:00,220,7.1,94,,79.59286111,12.55172222,,,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5928611111111 12.551722222222223, 79.59102777777777 12.55088888888889)"
8,T.NO 7,,T,DD,28,06-07-2025 00:00,195,6.83,94,"33°13'19""",79.59102778,12.55088889,,,GOOD,GOOD,"2NOS LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59102777777777 12.55088888888889, 79.58924999999999 12.551111111111112)"
7,T.NO 6,,T,DD,28,05-06-2025 00:00,240,17.45,97,"44°58'16""",79.58925,12.55111111,,,GOOD,GOOD,HT,,"WATER LOGGED,POND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58924999999999 12.551111111111112, 79.58749999999999 12.549777777777777)"
6,T.NO 5,,S,DA,26,04-05-2025 00:00,161,,96,,79.5875,12.54977778,,,GOOD,GOOD,,,"WATER LOGGED,POND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58749999999999 12.549777777777777, 79.58630555555555 12.548916666666667)"
