S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
52,T.NO 49,S,SA,26,48-49,265.660159449812,5.78,129,,79.55333333333333,13.244638888888888,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55333333333333 13.244638888888888, 79.55094444444444 13.244083333333332)"
53,T.NO 50,S,SA,26,49-50,266.63508804373,4.9,128,,79.55094444444444,13.244083333333332,GOOD,GOOD,LT2,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55094444444444 13.244083333333332, 79.54833333333333 13.243472222222222)"
54,T.NO 51,S,SA,26,50-51,291.368731098925,3.48,129,,79.54833333333333,13.243472222222222,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54833333333333 13.243472222222222, 79.54608333333333 13.242972222222221)"
55,T.NO 52,S,SA,26,51-52,252.857102341784,4.38,131,,79.54608333333333,13.242972222222221,GOOD,GOOD,LT1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54608333333333 13.242972222222221, 79.54283333333333 13.242305555555555)"
56,T.NO 53,T,SB,24,52-53,360.489916409348,5.48,134,"13°40'39""",79.54283333333333,13.242305555555555,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54283333333333 13.242305555555555, 79.54047222222222 13.242388888888888)"
57,T.NO 54,S,SA,26,53-54,256.282196794058,5.15,135,,79.54047222222222,13.242388888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54047222222222 13.242388888888888, 79.53830555555555 13.24236111111111)"
58,T.NO 55,S,SA,26,54-55,237.019067026374,6.05,139,,79.53830555555555,13.24236111111111,GOOD,GOOD,LT2,CANAL,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53830555555555 13.24236111111111, 79.5355 13.242388888888888)"
59,T.NO 56,T,SC,26,55-56,304.059400118195,5.85,148,"23°14'8""",79.5355,13.242388888888888,GOOD,GOOD,LT1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5355 13.242388888888888, 79.53313888888889 13.241444444444443)"
60,T.NO 57,S,SA,26,56-57,278.431072520725,4.68,152,,79.53313888888889,13.241444444444443,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53313888888889 13.241444444444443, 79.53441666666666 13.241972222222222)"
61,T.NO 58,S,SA,26,57-58,150.856598119669,4.92,150,,79.53441666666666,13.241972222222222,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53441666666666 13.241972222222222, 79.53105555555555 13.24061111111111)"
62,T.NO 59,S,SA,26,58-59,395.241043018101,6.92,146,,79.53105555555555,13.24061111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53105555555555 13.24061111111111, 79.52905555555556 13.239777777777777)"
63,T.NO 60,T,SC,26,59-60,235,4.25,143,"21°53'22""",79.52905555555556,13.239777777777777,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52905555555556 13.239777777777777, 79.52711111111111 13.237916666666665)"
64,T.NO 61,T,SD,28,60-61,297.319084771805,2.35,136,"48°52'44""",79.52711111111111,13.237916666666665,GOOD,GOOD,,CANAL1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52711111111111 13.237916666666665, 79.5243888888889 13.23811111111111)"
65,T.NO 62,S,SA,26,61-62,294.901343991483,4.18,137,,79.5243888888889,13.23811111111111,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5243888888889 13.23811111111111, 79.52166666666666 13.238333333333333)"
