S.No,Tower No.,Tower Suspension / Tension,Joint Box Locaton,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,JOINT BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
63,61,S,,SC on SC,26,60 - 61,238.942954,22.4,12.55,19.9,22.9,78,0°18'38''LT,11.53714062,79.35431921,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3543192092329 11.537140617147, 79.3529284838587 11.5351076703518)"
64,62,S,,SC on SC,26,61 - 62,272.5191336,22.15,12.2,10.8,13,78,0°3'47''RT,11.53510767,79.35292848,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3529284838587 11.5351076703518, 79.3516649957746 11.5332563593983)"
65,63,T,,SC on SC,26,62 - 63,248.1012272,22.55,12.65,11.1,18.8,77,46°14'3''RT,11.53325636,79.351665,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3516649957746 11.5332563593983, 79.3520138505846 11.5316039510071)"
66,64,S,,SC on SC,26,63 - 64,187.9566265,22,12.35,10.4,34.2,74,1°20'57''RT,11.53160395,79.35201385,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3520138505846 11.5316039510071, 79.3523992504924 11.5299698151648)"
67,65,S,,SC on SC,26,64 - 65,186.8405078,22.55,12.8,11,20.9,73,2°28'5''LT,11.52996982,79.35239925,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3523992504924 11.5299698151648, 79.3527679704129 11.5280373673886)"
68,66,T,,SC on SC,26,65 - 66,218.7659663,21.75,12,10.3,28.4,72,11°21'43''RT,11.52803737,79.35276797,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3527679704129 11.5280373673886, 79.3530656117945 11.5273067168891)"
69,67,T,,H-pole,15,66 - 67,88.35160569,21.6,11.8,10.2,25.1,70,1°0'30''LT,11.52730672,79.35306561,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3530656117945 11.5273067168891, 79.3532610777765 11.526801623404)"
70,68,T,,H-pole,15,67 - 68,61.05329781,16.45,8.9,4.1,60.6,71,0°57'27''LT,11.52680162,79.35326108,GOOD,NOT Available,230kV,,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3532610777765 11.526801623404, 79.3535498343408 11.526016741991)"
71,69,T,2 Way,SC on SC,26,68 - 69,93.61011602,16.05,8.35,3.9,56.3,70,36°12'29''LT,11.52601674,79.35354983,GOOD,Available,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3535498343408 11.526016741991, 79.352902919054 11.5237620938569)"
72,70,S,,SC on SC,26,69 - 70,260.4480469,15,7.65,2.9,54.6,67,0°42'3''LT,11.52376209,79.35290292,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.352902919054 11.5237620938569, 79.3522015213966 11.5214257221668)"
73,71,S,,SC on SC,26,70 - 71,270.7847929,14.75,7.4,2.8,53.1,54,0°18'11''LT,11.52142572,79.35220152,GOOD,Available,2-LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3522015213966 11.5214257221668, 79.3515808414667 11.5193972177803)"
74,72,S,,SC on SC,26,71 - 72,235.6337073,15.2,7.1,3.6,46.3,62,0°26'60''RT,11.51939722,79.35158084,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3515808414667 11.5193972177803, 79.3509694654494 11.5173415560275)"
75,73,S,,SC on SC,26,72 - 73,238.2238306,15.55,7.85,3.6,53.5,60,0°6'40''LT,11.51734156,79.35096947,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3509694654494 11.5173415560275, 79.350313078612 11.5151501074433)"
76,74,T,,SC on SC,26,73 - 74,254.019857,14.55,6.95,2.8,49,60,43°14'25''RT,11.51515011,79.35031308,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.350313078612 11.5151501074433, 79.351277668029 11.5132210124284)"
77,75,T,,SC on SC,26,74 - 75,239.1793705,15.6,7.5,3.9,48.4,59,36°18'55''LT,11.51322101,79.35127767,GOOD,Available,HT,"POND,MUD ROAD",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.351277668029 11.5132210124284, 79.3509496003389 11.5113116148859)"
78,76,T,,SC on SC,26,75 - 76,215.4756399,13.9,5.25,2.9,38.5,56,47°11'49''RT,11.51131161,79.3509496,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3509496003389 11.5113116148859, 79.3523627892136 11.5094664227217)"
79,77,T,,SC on SC,26,76 - 77,257.0446682,13.75,5.15,2.8,32.4,56,51°57'54''LT,11.50946642,79.35236279,GOOD,Available,"HT,400kV",,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3523627892136 11.5094664227217, 79.3519056402146 11.5077009424567)"
80,78,T,,SC on SC,26,77 - 78,202.8122514,14.7,6,3.6,35.4,54,45°8'32''RT,11.50770094,79.35190564,GOOD, Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3519056402146 11.5077009424567, 79.3531128857284 11.505661625415)"
81,79,T,,SC on SC,26,78 - 79,262.4694977,15.6,7,4.2,41,50,30°33'36''RT,11.50566163,79.35311289,GOOD,NOT Available,"230kV,HT",,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3531128857284 11.505661625415, 79.3549942038953 11.5046267118304)"
82,80,S,,SC on SC,26,79 - 80,236.2645584,14.75,6,3.6,34.9,50,1°34'13''RT,11.50462671,79.3549942,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3549942038953 11.5046267118304, 79.3568697385489 11.503660948947)"
