S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
62,T.NO 52,T,,DB,24,53-52,262.5737991,4.37,50,"1°37'29""",11.43249409,79.26557939,,,GOOD,GOOD,HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26557938543318 11.432494085007294, 79.26323396328958 11.430916287072577)"
63,T.NO 51,S,,DA,26,52-51,309.8031633,2.69,51,,11.43091629,79.26323396,,,GOOD,GOOD,LT-1 HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26323396328958 11.430916287072577, 79.26076061593649 11.42928347519146)"
64,T.NO 50,S,,DA,26,51-50,324.7799255,3.61,52,,11.42928348,79.26076062,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26076061593649 11.42928347519146, 79.2584151396173 11.427723725166938)"
65,T.NO 49,T,2W,DC,26,50-49,308.6907838,3.21,51,"16°5'26""",11.42772373,79.25841514,Yes,,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2584151396173 11.427723725166938, 79.25671386169749 11.425715799065909)"
66,T.NO 48,T,,DD,28,49-48,289.4995682,4.27,48,"41°51'23""",11.4257158,79.25671386,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25671386169749 11.425715799065909, 79.25407714118744 11.425338509836289)"
67,T.NO 47,S,,DA,24,48-47,290.7645095,5.27,50,,11.42533851,79.25407714,,,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25407714118744 11.425338509836289, 79.250982783993 11.424877108811176)"
68,T.NO 46,S,,DA,26,47-46,341.5333073,4.41,53,,11.42487711,79.25098278,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.250982783993 11.424877108811176, 79.24808064019462 11.424452984669612)"
69,T.NO 45,S,,DA,26,46-45,320.1780755,3.91,55,,11.42445298,79.24808064,,,GOOD,GOOD,HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24808064019462 11.424452984669612, 79.24506855496794 11.424028174768706)"
70,T.NO 44,S,,DA,26,45-44,332.063247,5.47,54,,11.42402817,79.24506855,,,GOOD,GOOD,"400KV CROSSING ABOVE,LT-1",,CULTIVACTION LAND,PAPPAKUDI - PALAVADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24506855496794 11.424028174768706, 79.24222135858082 11.423613363721248)"
71,T.NO 43,T,,DB,26,44-43,314.0971187,3.47,55,"3°1'22""",11.42361336,79.24222136,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24222135858082 11.423613363721248, 79.24013468752588 11.423203092830692)"
72,T.NO 42,S,,DB,24,43-42,232.2068044,4.55,53,,11.42320309,79.24013469,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24013468752588 11.423203092830692, 79.23790164339768 11.422755768995271)"
73,T.NO 41,S,,DB,24,42-41,248.6764967,3.49,55,,11.42275577,79.23790164,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23790164339768 11.422755768995271, 79.23587907275297 11.422354894563872)"
74,T.NO 40,T,2W,DD,28,41-40,225.1443981,4.17,55,"56°11'35""",11.42235489,79.23587907,Yes,,GOOD,GOOD,,,CULTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23587907275297 11.422354894563872, 79.23509348597658 11.420478933671863)"
75,T.NO 39,S,,DB,24,40-39,224.5395288,5.55,54,,11.42047893,79.23509349,,,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23509348597658 11.420478933671863, 79.2339268807289 11.417985973394646)"
76,T.NO 38,S,,DB,24,39-38,303.7531893,4.17,54,,11.41798597,79.23392688,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2339268807289 11.417985973394646, 79.23299812728959 11.415557722229487)"
77,T.NO 37,S,,DB,24,38-37,287.1114766,3.47,54,,11.41555772,79.23299813,,,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23299812728959 11.415557722229487, 79.2320223994646 11.41331902194126)"
78,T.NO 36,T,,DC,26,37-36,269.5793019,5.17,48,"27°56'58""",11.41331902,79.2320224,,,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2320223994646 11.41331902194126, 79.23206111991374 11.41298478408059)"
79,T.NO 35,T,,DP,15,36-35,37.21558813,4.77,57,,11.41298478,79.23206112,,,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23206111991374 11.41298478408059, 79.23207190523819 11.41272269596823)"
80,T.NO 34,T,,DP,15,35-34,29.01723626,3.91,53,"3°1'12""",11.4127227,79.23207191,,,GOOD,MISSING,230KV CROSSING ABOVE ,,CULTIVACTION LAND,NEYVELI-ECHANGADU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23207190523819 11.41272269596823, 79.23214867403408 11.412162693250279)"
81,T.NO 33,T,,DB,24,34-33,62.51399843,3.71,52,"11°6'32""",11.41216269,79.23214867,,,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23214867403408 11.412162693250279, 79.23198170850871 11.40953111622538)"
82,T.NO 32,S,,DA,26,33-32,291.6864755,4.55,53,,11.40953112,79.23198171,,,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23198170850871 11.40953111622538, 79.23182457588237 11.406791121175619)"
