S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly / Forest / Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
180,TN - 140,S,,SC,28,TN - 137 : TN - 136,256.3561719,-,76,,11.38634339,79.39960102,GOOD,AVAILABLE,"HT, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3996010161936 11.3863433897495, 79.3997833225876 11.3887716270983)"
181,TN - 139,S,,SC,28,TN - 136 : TN - 135,271.3355526,-,77,,11.38877163,79.39978332,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3997833225876 11.3887716270983, 79.4000315945595 11.3919549901038)"
182,TN - 138,S,,SC,28,TN - 135 : TN - 134,355.1688909,-,77,,11.39195499,79.40003159,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4000315945595 11.3919549901038, 79.400232 11.394491)"
183,TN - 137,T,,SC,28,TN - 134 : TN - 133,284.3722904,-,77,31°57'16''RT,11.394491,79.400232,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.400232 11.394491, 79.399622 11.395666)"
184,TN - 136,S,,SC,28,TN - 133 : TN - 132,149.0306443,-,67,,11.395666,79.399622,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.399622 11.395666, 79.398604 11.397576)"
185,TN - 135,S,,SC,28,TN - 132 : GANTRY 1,241.7058858,-,76,,11.397576,79.398604,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.398604 11.397576, 79.397581 11.399492)"
186,TN - 134,S,,SC,28,GANTRY 1 : GANTRY 2,242.547139,-,76,,11.399492,79.397581,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.397581 11.399492, 79.396561 11.401395)"
187,TN - 133,T,,SC,28,GANTRY 2 : TN - 131,241.1223734,-,77,7°0'12''LT,11.401395,79.396561,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.396561 11.401395, 79.395978 11.402899)"
188,TN - 132,T,,SC,28,TN - 131 : TN - 131/5,181.1169812,-,67,17°2'19''RT,11.402899,79.395978,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.395978 11.402899, 79.395863 11.403045)"
189,GANTRY 1,GANTRY,,SC,15,TN - 131/5 : GANTRY AT SRIMUSHNAM SS,23.45313216,-,76,11°26'42''RT,11.403045,79.395863,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.395863 11.403045, 79.395585 11.403281)"
190,GANTRY 2,GANTRY,,SC,15,GANTRY AT SRIMUSHNAM SS : ,43.02442215,-,76,6°22'53''LT,11.403281,79.395585,GOOD,AVAILABLE,110KV LINE XING,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.395585 11.403281, 79.395325 11.403557)"
191,TN - 131,T,,SC,28, : ,44.67976709,-,77,27°21'57''LT,11.403557,79.395325,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.395325 11.403557, 79.394911 11.405008)"
192,TN - 131/5,T,,DC,32, : ,169.7409884,-,77,27°32'15''LT,11.405008,79.394911,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.394911 11.405008, 79.395023 11.405553)"
193,GANTRY AT SRIMUSHNAM SS,GANTRY,2W,GANTRY,15, : ,64.51203791,-,77,,11.405553,79.395023,GOOD,AVAILABLE,,ROAD,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
