S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
61,55,S,DA,26,"=B65&"" - "" &B66",322.0363933733987,2.32,92.3633269999999,,10.732805555555556,78.74408333333334,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74408333333334 10.732805555555556, 78.74688888888889 10.733194444444445)"
62,56,S,DA,26,"=B66&"" - "" &B67",311.1808922591698,1.03,89.696037,,10.733194444444445,78.74688888888889,GOOD,Available,110 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74688888888889 10.733194444444445, 78.74938888888889 10.733527777777777)"
63,57,S,DA,26,"=B67&"" - "" &B68",275.5526690411648,0.65,88.9965739999999,,10.733527777777777,78.74938888888889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74938888888889 10.733527777777777, 78.75241666666666 10.733944444444443)"
64,58,S,DA,26,"=B68&"" - "" &B69",332.7521931815459,1.18,88.4144359999999,,10.733944444444443,78.75241666666666,GOOD,Available,,River ,Water Logged,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75241666666666 10.733944444444443, 78.75544444444445 10.734388888888889)"
65,59,S,DA,26,"=B69&"" - "" &B70",337.05410643569246,1.42,88.4056779999999,,10.734388888888889,78.75544444444445,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75544444444445 10.734388888888889, 78.75825 10.734805555555555)"
66,60,S,DA,26,"=B70&"" - "" &B71",309.3567996509976,2.71,90.4918059999999,,10.734805555555555,78.75825,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75825 10.734805555555555, 78.76116666666667 10.735166666666666)"
67,61,S,DA,26,"=B71&"" - "" &B72",322.38899938106954,1.52,92.0868229999999,,10.735166666666666,78.76116666666667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76116666666667 10.735166666666666, 78.76405555555556 10.735583333333333)"
68,62,S,DA,26,"=B72&"" - "" &B73",319.0002742896843,2.09,85.1024089999999,,10.735583333333333,78.76405555555556,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76405555555556 10.735583333333333, 78.76666666666667 10.735972222222221)"
69,63,T,DB,25,"=B73&"" - "" &B74",287.7981949249121,2.25,85.8204269999999,"3°32'24""R",10.735972222222221,78.76666666666667,GOOD,Available,"LT,HT",Road,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76666666666667 10.735972222222221, 78.76916666666666 10.736472222222222)"
70,64,T,DB,25,"=B74&"" - "" &B75",279.218308588062,NIL,85.2251279999999,"9°45'0""L",10.736472222222222,78.76916666666666,GOOD,Available,,IT Park Inside Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76916666666666 10.736472222222222, 78.77175 10.736583333333332)"
71,65,S,DA,26,"=B75&"" - "" &B76",283.42198339999874,NIL,86.46228,,10.736583333333332,78.77175,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77175 10.736583333333332, 78.77408333333334 10.736999999999998)"
72,66,T,DC,26,"=B76&"" - "" &B77",260.66654910240067,3.01,88.176338,"56°21'0""R",10.736999999999998,78.77408333333334,GOOD,Available,"HT,LT-2NO",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77408333333334 10.736999999999998, 78.77516666666666 10.739472222222222)"
73,67,S,DA,26,"=B77&"" - "" &B78",296.24241257587073,1.76,86.032257,,10.739472222222222,78.77516666666666,GOOD,Available,LT - 2NO,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77516666666666 10.739472222222222, 78.77625 10.741944444444444)"
74,68,T,DB,25,"=B78&"" - "" &B79",298.2778545336339,2.44,84.1070859999999,"22°48'0""L",10.741944444444444,78.77625,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77625 10.741944444444444, 78.77775 10.74336111111111)"
75,LILO : 69,T,DC,26,"=B79&"" - "" &B80",227.6833461130689,3.06,87.6147689999999,"49°43'12""L",10.74336111111111,78.77775,GOOD,Available,HT,,PLAIN,LILO to Ambikapuram,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77775 10.74336111111111, 78.77894444444445 10.74325)"
76,70,T,DC,26,"=B80&"" - "" &B81",130.20943086783905,3.09,101.635712,"45°4'12""L",10.74325,78.77894444444445,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77894444444445 10.74325, 78.78072222222222 10.741055555555555)"
77,71,S,DA,26,"=B81&"" - "" &B82",309.8548331086966,1.17,99.1664509999999,,10.741055555555555,78.78072222222222,GOOD,Available,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78072222222222 10.741055555555555, 78.78261111111111 10.738888888888889)"
78,72,T,DB,25,"=B82&"" - "" &B83",315.867185434375,2.61,99.2428359999999,"7°47'24""L",10.738888888888889,78.78261111111111,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78261111111111 10.738888888888889, 78.78352777777778 10.737472222222221)"
