Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,,,,,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
75/1 LILO,DD,T,28,74-75/1,,270.1481,4.32,95m," 79d26'59""RT",11.985218090911275,79.31711080354196,3W,,,,Good,Good,_,_,plain,LILO-KARAIPERUCHENUR &THIRUKOILUR SS,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31711080354196 11.985218090911275, 79.31789746026773 11.987184453931556)"
75/2,DC,T,26,75/1-75/2,,233.7905,3.2,97m," 19d28'7""LT",11.987184453931556,79.31789746026773,,,,,Good,Good,LT-1,_,plain,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31789746026773 11.987184453931556, 79.31797578086919 11.989363518426696)"
75/3,DA,S,26,75/2-75/3,,241.2074,2.1,99m,,11.989363518426696,79.31797578086919,,,,,Good,Good,_,_,plain,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31797578086919 11.989363518426696, 79.31806160168334 11.991813822050675)"
75/4,DA,S,26,75/3-75/4,,271.2224,4.32,104m,,11.991813822050675,79.31806160168334,,,,,Good,Good,_,_,plain,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31806160168334 11.991813822050675, 79.31814008788974 11.993965767755475)"
75/5,DC+3,T,29,75/4-75/5,,238.21,8.49,102m," 23d50'16""LT",11.993965767755475,79.31814008788974,,,,,Good,Good,LT-1,ROAD,plain,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31814008788974 11.993965767755475, 79.3172262924521 11.996211187916542)"
75/6,DC,T,26,75/5-75/6,,268,4.3,102m," 15d31'27""LT",11.996211187916542,79.3172262924521,,,,,Good,Good,HT-2,_,plain,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3172262924521 11.996211187916542, 79.31620807337727 11.997524875558229)"
75/7,DD,T,28,76/6-75/7,,182.8004,3.5,102m,"62d51'42""RT",11.997524875558229,79.31620807337727,,,,,Good,Good,_,_,plain,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31620807337727 11.997524875558229, 79.31635313575143 11.997824061486451)"
KARANAIPERUNCHANUR GANTRY,GANTRY,T,20,75/7 -GAN,,37,,100m,,11.997824061486451,79.31635313575143,2W,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,=SUM(G7:G88),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
