S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
73,162,S,SA,22,161-162,278.0821199099268,2.5,62.088242,,10.265333333333333,78.94111111111111,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94111111111111 10.265333333333333, 78.94308333333333 10.263583333333333)"
74,163,S,SA,22,162-163,289.75809306998997,3.56,65.404099,,10.263583333333333,78.94308333333333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94308333333333 10.263583333333333, 78.94477777777779 10.262083333333333)"
75,164,T,SC,22,163-164,249.4943042046483,5.22,63.865952,"16°58'35"" R",10.262083333333333,78.94477777777779,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94477777777779 10.262083333333333, 78.94597222222222 10.26013888888889)"
76,165,S,SA,22,164-165,251.06337186728604,2.11,62.785248,,10.26013888888889,78.94597222222222,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94597222222222 10.26013888888889, 78.94708333333334 10.258194444444445)"
77,166,S,SA,22,165-166,247.5549109109132,2.85,61.3452989999999,,10.258194444444445,78.94708333333334,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94708333333334 10.258194444444445, 78.94830555555556 10.256166666666667)"
78,167,S,SA,22,166-167,260.78276916284335,6.3,61.311157,,10.256166666666667,78.94830555555556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94830555555556 10.256166666666667, 78.94952777777779 10.254083333333334)"
79,168,T,SB,22,167-168,266.3701144956781,1.22,64.222328,"1°25'16"" R",10.254083333333334,78.94952777777779,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94952777777779 10.254083333333334, 78.95063888888889 10.252083333333333)"
80,169,S,SA,22,168-169,252.56949113465367,0.39,56.0044779999999,,10.252083333333333,78.95063888888889,GOOD,Available,LT -2NO,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95063888888889 10.252083333333333, 78.95183333333334 10.24997222222222)"
81,170,S,SA,22,169-170,267.3406351961047,2.62,55.394306,,10.24997222222222,78.95183333333334,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95183333333334 10.24997222222222, 78.953 10.247888888888887)"
82,171,T,SB,22,170-171,264.5016266073835,4.08,64.390259,"11°32'2"" L",10.247888888888887,78.953,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.953 10.247888888888887, 78.95461111111112 10.246027777777776)"
