S.NO,Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
63,10,SA,S,,26,10-Nov,,0.002680923,4.91,77.27,,11.61618729,79.47307952,GOOD,GOOD,HT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47307952027973 11.616187287580912, 79.47315152039883 11.613604290669867)"
64,9,SA,S,,26,9-Oct,,0.001746574,9.12,76.48,,11.61360429,79.47315152,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47315152039883 11.613604290669867, 79.4731965202502 11.611027288965207)"
65,8,SA,S,,26,8-Sep,,0.001737018,7.21,76.1,,11.61102729,79.47319652,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4731965202502 11.611027288965207, 79.47323152109955 11.60842628513576)"
66,7,SA,S,,26,7-Aug,,0.002696511,9.21,75.67,,11.60842629,79.47323152,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47323152109955 11.60842628513576, 79.4732875206571 11.605874292760364)"
67,6,SA,S,,26,6-Jul,,0.000337511,5.61,71.49,,11.60587429,79.47328752,GOOD,GOOD,,ROAD2,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4732875206571 11.605874292760364, 79.47310952076276 11.60319928526747)"
68,5,SA,S,,26,5-Jun,,0.000461201,,71.82,,11.60319929,79.47310952,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47310952076276 11.60319928526747, 79.47315452066383 11.601453290940675)"
69,4,SB,T,2W,24,4-May,,0.000409202,,68.62," 14d41'37""LT",11.60145329,79.47315452,GOOD,GOOD,,ROAD1,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47315452066383 11.601453290940675, 79.47361452024198 11.59977828837833)"
70,3,SB,T,,24,3-Apr,,0.000885484,7.02,72.92," 13d18'26""LT",11.59977829,79.47361452,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47361452024198 11.59977828837833, 79.47491352025384 11.597415287605711)"
71,23,SD,T,,28,23-Mar,,0.00184253,4.72,73.51," 127d58'1""RT",11.59741529,79.47491352,GOOD,GOOD,,ROAD,PLAIN,Q/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47491352025384 11.597415287605711, 79.47458052041264 11.597470287542796)"
72,22,SC,T,,26,23-22,,0.00252605,5.71,69.64," 26d45'33""LT",11.59747029,79.47458052,GOOD,GOOD,,,PLAIN,Q/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47458052041264 11.597470287542796, 79.47413951995685 11.597335287626695)"
73,20,SD,T,,28,22-20,,0.002149962,6.8,73.6,"33d38'43""RT",11.59733529,79.47413952,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47413951995685 11.597335287626695, 79.47374652076988 11.59744929471098)"
74,18,SC,T,,26,20-18,,0.001907107,,71.78," 22d14'47""LT",11.59744929,79.47374652,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47374652076988 11.59744929471098, 79.47286552106264 11.597360291314981)"
75,17,SB,T,,24,18-17,,0.002176051,5.32,71.74," 10d44'42""RT",11.59736029,79.47286552,GOOD,GOOD,,,PLAIN,M/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47286552106264 11.597360291314981, 79.47102952197906 11.597515286746447)"
