S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
67,T.NO-2,DA,S,24,1-2,279.892836635738,3.12,56,,79.291131,11.556655,GOOD,GOOD,"LT,11KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.291131 11.556655, 79.289672 11.558318)"
68,T.NO-3,DA,S,24,2-3,243.28789530102,4.19,56,,79.289672,11.558318,GOOD,GOOD,,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.289672 11.558318, 79.288574 11.559505)"
69,T.NO-4,DB,T,26,3-4,177.721692542019,10.1,56,"12°27'23""",79.288574,11.559505,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.288574 11.559505, 79.286871 11.560688)"
70,T.NO-5,DA,S,24,4-5,227.264163475019,8.54,56,,79.286871,11.560688,GOOD,GOOD,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.286871 11.560688, 79.285287 11.561773)"
71,T.NO-6,DA,S,24,5-6,210.297408448131,7.18,56,,79.285287,11.561773,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.285287 11.561773, 79.28319 11.562963)"
72,T.NO-7,DB,T,26,6-7,263.956435799546,4.5,60,"0°00'00""",79.28319,11.562963,GOOD,GOOD,,POND,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28319 11.562963, 79.280715 11.564413)"
73,T.NO-8,DB,T,26,7-8,314.014330883162,5.4,60,"13°34'58""",79.280715,11.564413,GOOD,GOOD,LT,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.280715 11.564413, 79.278731 11.565016)"
74,T.NO-9,DA,S,24,8-9,226.450877675491,6.16,56,,79.278731,11.565016,GOOD,GOOD,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.278731 11.565016, 79.276334 11.565661)"
75,T.NO-10,DA,S,24,9-10,271.016604657353,7.12,56,,79.276334,11.565661,GOOD,GOOD,"LT,11KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.276334 11.565661, 79.274195 11.566155)"
76,T.NO-11,DA,S,24,10-11,239.635139326435,7.31,56,,79.274195,11.566155,GOOD,GOOD,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.274195 11.566155, 79.271863 11.566719)"
