S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
56,125,S,,SA,22,124-125,305.2636128,1.9,99.175919,,11.01177778,78.93322222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93322222222223 11.011777777777779, 78.93427777777778 11.008833333333333)"
57,126,S,,SA,22,125-126,346.2152788,2.4,103.74913,,11.00883333,78.93427778,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93427777777778 11.008833333333333, 78.93508333333334 11.006638888888888)"
58,127,T,2W,SC,22,126-127,258.1154044,2.47,105.164261,"9°13'47"" R",11.00663889,78.93508333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93508333333334 11.006638888888888, 78.93558333333334 11.004027777777777)"
59,128,S,,SA,22,127-128,296.1209475,3.34,102.918533,,11.00402778,78.93558333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93558333333334 11.004027777777777, 78.93613888888889 11.001222222222221)"
60,129,S,,SA,22,128-129,314.8891015,2.36,102.620689,,11.00122222,78.93613889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93613888888889 11.001222222222221, 78.9366388888889 10.998527777777777)"
61,130,S,,SA,22,129-130,304.2837412,1.1,104.575089,,10.99852778,78.93663889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9366388888889 10.998527777777777, 78.93719444444444 10.995833333333332)"
62,131,S,,SA,22,130-131,304.3330734,2.76,106.115234,,10.99583333,78.93719444,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93719444444444 10.995833333333332, 78.93769444444445 10.99311111111111)"
63,132,S,,SA,22,131-132,305.8143582,4.06,107.005325,,10.99311111,78.93769444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93769444444445 10.99311111111111, 78.93819444444445 10.99061111111111)"
64,133,S,,SA,22,132-133,280.6656906,2.67,107.767258,,10.99061111,78.93819444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93819444444445 10.99061111111111, 78.93875 10.98772222222222)"
65,134,T,,SC,22,133-134,325.2891625,1.57,107.848778,"56°6'30""L",10.98772222,78.93875,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93875 10.98772222222222, 78.94091666666667 10.986833333333333)"
