S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Ground Elevation,Deviation Angle,,Latitude,Longitude,,,,,Footing Resistance of Tower ,,,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,line_geom
63,62,S,DC,28,61-62,160.11747564947615,27.030819,,,12.0087240077555,79.7156400047242,,,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7156400047242 12.0087240077555, 79.7176430281251 12.0079210214316)"
64,63,T,DC,28,62-63,236.98383701867272,27.542175,15°16'25''RT,,12.0079210214316,79.7176430281251,,,,,14.75,5.25,4,21.4,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7176430281251 12.0079210214316, 79.7190749924629 12.0068420190364)"
65,64,T,DC,28,63-64,197.84762351089205,26.593489,6°22'6''LT,,12.0068420190364,79.7190749924629,,,,,14.95,5.55,4.1,24.2,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7190749924629 12.0068420190364, 79.7206500358879 12.005908023566)"
66,65,S,DC,28,64-65,201.705639264659,26.341766,,,12.005908023566,79.7206500358879,,,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7206500358879 12.005908023566, 79.7225409932434 12.0046939887106)"
67,66,S,DC,28,65-66,247.30999528357856,26.682167,,,12.0046939887106,79.7225409932434,,,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7225409932434 12.0046939887106, 79.7241560183465 12.0037200115621)"
68,67,S,DC,28,66-67,207.7231400474583,27.0454879999999,,,12.0037200115621,79.7241560183465,,,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7241560183465 12.0037200115621, 79.7262789867818 12.0024189725518)"
69,68,S,DC,28,67-68,273.7882830590099,26.299543,,,12.0024189725518,79.7262789867818,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7262789867818 12.0024189725518, 79.728250997141 12.0011859945952)"
70,69,S,DC,28,68-69,255.86696058294694,28.847563,,,12.0011859945952,79.728250997141,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.728250997141 12.0011859945952, 79.7302270308136 11.999938013032)"
71,70,T,DC,28,69-70,257.1297310278361,29.6499099999999,27°12'24''LT,,11.999938013032,79.7302270308136,2W,,,,12.75,3.95,2.1,25.2,,,,GOOD,Available,HT,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7302270308136 11.999938013032, 79.7324209939688 11.9997309800237)"
72,71,T,DC,28,70-71,241.48433536106256,33.661617,48°27'48''LT,,11.9997309800237,79.7324209939688,,,,,12.45,3.4,1.9,20.7,,,,GOOD,Available,"HT,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7324209939688 11.9997309800237, 79.7336470149457 12.0008559990674)"
