Tower No,Tower Type,Tower Type,Tower Height (Mtrs),Span Between Tower No.,Span length             (As per tower DChedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
26,DD,T,28,27-26,,336.8073,,160.98," 41d13'41""LT",11.607354289519588,78.78328488331354,good,good,"LT-1,HT1",CAR TRACK,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78328488331354 11.607354289519588, 78.78360588269052 11.6061582894842)"
25,DC,T,26,26-25,,136.898,5.81,158.86,"23d38'3""RT",11.6061582894842,78.78360588269052,good,good,HT-1,RAILWAY TRACK,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78360588269052 11.6061582894842, 78.78327395789603 11.604047642316571)"
24,DA,S,26,25-24,,236.3031,10.14,159.84,,11.604047642316571,78.78327395789603,good,good,,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78327395789603 11.604047642316571, 78.7829332745791 11.60188129135328)"
23,DA,S,26,24-23,,242.6255,10.84,161.44,,11.60188129135328,78.7829332745791,good,good,LT-1,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7829332745791 11.60188129135328, 78.78263888363205 11.600009291721243)"
22,DD,T,28,23-22,,209.6857,1.6,163.08,"44d59'27""RT",11.600009291721243,78.78263888363205,good,good,LT-1,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78263888363205 11.600009291721243, 78.78049688559018 11.59846229197478)"
21,DA,S,26,22-21,,289.6755,,168.77,,11.59846229197478,78.78049688559018,good,good,LT-1,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78049688559018 11.59846229197478, 78.77841288695753 11.596960289450454)"
20,DD,T,28,21-20,,281.6301,3.03,169.47,"37d7'17""LT",11.596960289450454,78.77841288695753,good,good,"400KV,LT-1",,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77841288695753 11.596960289450454, 78.77776088703826 11.594830296536973)"
19,DA,S,26,20-19,,246.1947,2.86,168.64,,11.594830296536973,78.77776088703826,good,good,LT-2,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77776088703826 11.594830296536973, 78.77709788749488 11.592635294725351)"
18,DA,S,26,19-18,,253.4301,4.05,166.43,,11.592635294725351,78.77709788749488,good,good,LT-1,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77709788749488 11.592635294725351, 78.77647888823506 11.590597293735089)"
17,DC,T,26,18-17,,235.4102,2.97,165.56," 18d0'59""RT",11.590597293735089,78.77647888823506,good,good,"HT-1,LT-1","ROAD,CAR TRACK",,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77647888823506 11.590597293735089, 78.7748538894281 11.588283297233716)"
16,DD,T,28,17-16,,311.4415,7.21,166.13,"32d17'1""RT",11.588283297233716,78.7748538894281,good,good,LT-1,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7748538894281 11.588283297233716, 78.7720588911787 11.587125295052019)"
15,DA,S,26,16-15,,330.767,5.22,164.76,,11.587125295052019,78.7720588911787,good,good,LT-1,ROAD,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7720588911787 11.587125295052019, 78.76926289299632 11.585954293530605)"
