SL.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
=1+A63,58,S,,GCR,27,T57-T58,214.87272277326176,3.87,82,9.0162483828815,77.79162324965,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79162324965 9.0162483828815, 77.7920634672045 9.01869180822487)"
=1+A64,59,T,"0°20'40""LT",HCR,24,T58-T59,274.7573029002131,1.06,83,9.01869180822487,77.7920634672045,AVAILABLE,"LT LINE-2NOS, 11KV LINE",,WATER LOGGED AREA,"DC LINE,LT LINE-2NOS,11 KV LINE,ROAD,POND,WATER LOGGED AREA,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7920634672045 9.01869180822487, 77.7926683053374 9.02173654670469)"
=1+A65,60,S,,GCR,27,T59-T60,297,3.4,85,9.02173654670469,77.7926683053374,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7926683053374 9.02173654670469, 77.7932315692305 9.02467331253168)"
=1+A66,61,S,,GCR,27,T60-T61,293,2.9,86,9.02467331253168,77.7932315692305,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7932315692305 9.02467331253168, 77.7936798334121 9.02720840201811)"
=1+A67,62,S,,GCR+3,30,T61-T62,284.902828215241,12.89,86,9.02720840201811,77.7936798334121,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"DC LINE,11 KV LINE, FENCING, ROAD CROSSING, PLAIN LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7936798334121 9.02720840201811, 77.7945669740438 9.03195237543858)"
=1+A68,63,S,,GCR,27,T62-T63,303.5861140186823,3.57,89,9.03195237543858,77.7945669740438,AVAILABLE,,,PLAIN LAND,"DC LINE ,Plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7945669740438 9.03195237543858, 77.7941690012812 9.02990770968773)"
=1+A69,64,S,,GCR,27,T63-T64,295,2.67,90,9.02990770968773,77.7941690012812,AVAILABLE,,,PLAIN LAND,"DC LINE ,Plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7941690012812 9.02990770968773, 77.7945669740438 9.03195237543858)"
=1+A70,65,S,,GCR,27,T64-T65,281.94924632990757,4.65,90,9.03195237543858,77.7945669740438,AVAILABLE,,,AGRI LAND,"DC line, agri land, good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7945669740438 9.03195237543858, 77.79543433 9.036709531)"
=1+A71,66,S,,GCR+3,30,T65-T66,253.90583358797153,5.78,89,9.036709531,77.79543433,AVAILABLE,,"NALA, ROAD",AGRI LAND,"DC Line, Road , Nala, good , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79543433 9.036709531, 77.79592015 9.039176327)"
=1+A72,67,S,,GCR,27,T66-T67,278.2253906762495,4.67,90,9.039176327,77.79592015,AVAILABLE,,,AGRI LAND,"Dcline, good agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79592015 9.039176327, 77.79632818 9.041704361)"
