S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
64,TN - 389,,S,DC on DC,32,TN - 386 : TN - 385,325.2503891,7.79,159,,9.859634042,77.93793901,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9379390086978 9.85963404178619, 77.9367787856608 9.85692660324275)"
65,TN - 388,,S,DC on DC,32,TN - 385 : TN - 384,327.6681718,4.11,158,,9.856926603,77.93677879,GOOD,AVAILABLE,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9367787856608 9.85692660324275, 77.9357198998332 9.85451127402484)"
66,TN - 387,,S,DC on DC,32,TN - 384 : TN - 383,293.5650496,2.54,156,,9.854511274,77.9357199,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9357198998332 9.85451127402484, 77.9345497023314 9.85182235948741)"
67,TN - 386,,S,DC on DC,32,TN - 383 : TN - 382,326.2142495,6.63,157,,9.851822359,77.9345497,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9345497023314 9.85182235948741, 77.9333914071321 9.84915750101208)"
68,TN - 385,,S,DC on DC,32,TN - 382 : TN - 381,323.2514289,5.16,154,,9.849157501,77.93339141,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9333914071321 9.84915750101208, 77.9322330281138 9.84660286456346)"
69,TN - 384,,S,DC on DC,32,TN - 381 : TN - 380,312.0875052,2.36,156,,9.846602865,77.93223303,GOOD,AVAILABLE,"HT, LT",CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9322330281138 9.84660286456346, 77.9311339091509 9.84405325725674)"
70,TN - 383,,S,DC on DC,32,TN - 380 : TN - 379,308.9645351,3.22,152,,9.844053257,77.93113391,GOOD,AVAILABLE,LT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9311339091509 9.84405325725674, 77.93002942577 9.84152217395603)"
71,TN - 382,,S,DC on DC,32,TN - 379 : TN - 378,307.313479,3.65,153,,9.841522174,77.93002943,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93002942577 9.84152217395603, 77.9290081746876 9.83920382335782)"
72,TN - 381,,T,DC on DC,30,TN - 378 : TN - 377,282.0726575,3.96,154,21°37'49''RT,9.839203823,77.92900817,GOOD,AVAILABLE,"HT, LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9290081746876 9.83920382335782, 77.9289146326482 9.83670484274625)"
73,TN - 380,,S,DC on DC,32,TN - 377 : TN - 376,278.8371255,6.04,157,,9.836704843,77.92891463,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9289146326482 9.83670484274625, 77.9288167320191 9.83425791375339)"
74,TN - 379,2W,S,DC on DC,32,TN - 376 : TN - 375,273.0973631,2.57,158,,9.834257914,77.92881673,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9288167320191 9.83425791375339, 77.9287200048565 9.83171333558857)"
75,TN - 378,,S,DC on DC,32,TN - 375 : TN - 374,283.8943779,3.46,156,,9.831713336,77.92872,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9287200048565 9.83171333558857, 77.9286228585988 9.82927965000271)"
76,TN - 377,,S,DC on DC,32,TN - 374 : TN - 373,271.6290305,3.26,157,,9.82927965,77.92862286,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9286228585988 9.82927965000271, 77.9284899216145 9.82675376348197)"
77,TN - 376,,T,DC on DC,30,TN - 373 : TN - 372,282.0055705,2.8,152,5°58'50''LT,9.826753763,77.92848992,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9284899216145 9.82675376348197, 77.9281992372125 9.82491703703999)"
78,TN - 375,,S,DC on DC,32,TN - 372 : TN - 371,207.8217829,1.86,156,,9.824917037,77.92819924,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9281992372125 9.82491703703999, 77.9277318622916 9.82220465317368)"
79,TN - 374,,S,DC on DC,32,TN - 371 : TN - 370,306.6238373,2.39,152,,9.822204653,77.92773186,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9277318622916 9.82220465317368, 77.927307402715 9.81970676220953)"
80,TN - 373,,S,DC on DC,32,TN - 370 : TN - 369,282.4249584,2.03,153,,9.819706762,77.9273074,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.927307402715 9.81970676220953, 77.9268656764179 9.81709982268512)"
