S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle 
(Degrees)",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
59,58,,T,PA,B+0,22,61-62,222,2.65,FALSE,298.3725586,0°38'37''RT,10.39062375,77.83053255,Good,Good,LT,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8305325470864 10.3906237520277, 77.8294578194618 10.3927410207688)"
60,59,,S,PA,A+0,24,62-63,268,3,FALSE,292.364502,,10.39274102,77.82945782,Good,Good,,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8294578194618 10.3927410207688, 77.8284688387066 10.3946352470666)"
61,60,,S,PA,A+0,24,63-64,241,2.17,FALSE,302.9388428,,10.39463525,77.82846884,Good,Good,2-LT,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8284688387066 10.3946352470666, 77.8275897447019 10.3962945286184)"
62,61,,S,PA,A+0,24,64-65,213,3.07,FALSE,300.776001,,10.39629453,77.82758974,Good,Good,,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8275897447019 10.3962945286184, 77.8267015982419 10.3980195242911)"
63,62,,S,PA,A+0,24,65-66,220,3.91,FALSE,295.4886475,,10.39801952,77.8267016,Good,Good,LT,THAR ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8267015982419 10.3980195242911, 77.8258041478693 10.3997063823044)"
64,63,,T,PB,B+0,22,66-67,216,3.82,FALSE,298.1323242,0°18'37''RT,10.39970638,77.82580415,Good,Good,,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8258041478693 10.3997063823044, 77.8247681446373 10.401679482311)"
65,64,,S,PA,A+0,24,67-68,251,3.5,FALSE,300.2952881,,10.40167948,77.82476814,Good,Good,LT,THAR ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8247681446373 10.401679482311, 77.82390053384 10.4033320583403)"
66,65,,S,PA,A+0,24,68-69,211,2.94,FALSE,299.8145752,,10.40333206,77.82390053,Good,Good,LT,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82390053384 10.4033320583403, 77.8229892533272 10.4050852172076)"
67,66,,S,PA,A+0,24,69-70,223,2.35,FALSE,299.5742188,,10.40508522,77.82298925,Good,Good,LT,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8229892533272 10.4050852172076, 77.8220773022621 10.4068231210112)"
68,67,,S,PA,A+0,24,70-71,222,2.82,FALSE,298.612915,,10.40682312,77.8220773,Good,Good,,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8220773022621 10.4068231210112, 77.8212509304285 10.4083400778472)"
69,68,,S,PA,A+0,24,71-72,196,2.65,FALSE,299.8145752,,10.40834008,77.82125093,Good,Good,,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8212509304285 10.4083400778472, 77.8203329443931 10.4101215675473)"
70,69,2W,T,PB,B+0,22,72-73,227,2.82,FALSE,303.1791992,0°11'25''LT,10.41012157,77.82033294,Good,Good,LT,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8203329443931 10.4101215675473, 77.8197051398456 10.4113299865275)"
71,70,,S,PA,A+0,24,73-74,155,1.07,FALSE,305.3421631,,10.41132999,77.81970514,Good,Good,ROAD,POND,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8197051398456 10.4113299865275, 77.8186641074717 10.4132944531738)"
72,71,,S,PA,A+0,24,74-75,251,1.19,FALSE,303.1791992,,10.41329445,77.81866411,Good,Good,22KV,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8186641074717 10.4132944531738, 77.8176750428974 10.4152191895991)"
73,72,,S,PA,A+0,24,75-76,244,2.88,FALSE,307.9857178,,10.41521919,77.81767504,Good,Good,22KV,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8176750428974 10.4152191895991, 77.8167272172868 10.4169970750808)"
74,73,,S,PA,A+0,24,76-77,228,0.86,FALSE,307.2647705,,10.41699708,77.81672722,Good,Good,2-LT,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8167272172868 10.4169970750808, 77.8157083969563 10.4190016072243)"
75,74,,T,PC,B+0,22,77-78,254,1.89,FALSE,313.2729492,3°34'54''RT,10.41900161,77.8157084,Good,Good,,POND,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8157083969563 10.4190016072243, 77.8150935843586 10.4204266145825)"
76,75,,S,PA,A+0,24,78-79,177,1.64,FALSE,312.3116455,,10.42042661,77.81509358,Good,Good,22KV,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8150935843586 10.4204266145825, 77.8142760973423 10.4224111977964)"
77,76,,S,PA,A+0,24,79-80,243,2.77,FALSE,311.5906982,,10.4224112,77.8142761,Good,Good,2-LT,THAR ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8142760973423 10.4224111977964, 77.8135086502879 10.4241471737623)"
78,77,,T,PB,B+0,22,80-81,215,3.33,FALSE,314.4744873,1°6'6''RT,10.42414717,77.81350865,Good,Good,LT,THAR ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8135086502879 10.4241471737623, 77.8127199131995 10.4260289948433)"
79,78,,S,PA,A+0,24,81-82,231,2.12,FALSE,308.2260742,,10.42602899,77.81271991,Good,Good,,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8127199131995 10.4260289948433, 77.8119668830186 10.427827835083)"
80,79,,S,PA,A+0,24,82-83/1 ,221,2.88,FALSE,311.5906982,,10.42782784,77.81196688,Good,Good,,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8119668830186 10.427827835083, 77.8113453648984 10.4292515851557)"
81,80,,T,PB,B+0,22,83/1 -,177,3.6,FALSE,307.0244141,0°53'32''RT,10.42925159,77.81134536,Good,Good,,POND,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8113453648984 10.4292515851557, 77.8105583880096 10.4311343282461)"
82,81,,S,PA,A+0,24,-,231,1.8,FALSE,312.7922363,,10.43113433,77.81055839,Good,Good,"22KV,2-LT",,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8105583880096 10.4311343282461, 77.8097735065966 10.4329786822199)"
83,82,,S,PA,A+0,24,-,227,2.1,FALSE,316.6375732,,10.43297868,77.80977351,Good,Good,LT,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8097735065966 10.4329786822199, 77.808891646564 10.4350295662879)"
84,83/1 ,3W,T,PB,DD+0,24,-,252,1.12,FALSE,331.0571289,76°20'54''LT,10.43502957,77.80889165,Good,Good,,,AGRI,TAPING POINT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
