SL.NO,TOWER NO,Joint Box,TOWER S / T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
66,66,,T,"13°19'35""RT",HC,21.94,T65-T66,322.8164134,33.62,189,8.517787436,77.77826652,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77826652225211 8.517787436103369, 77.77809586387683 8.51876890365626)"
67,67,,T,"22°45'00""RT",HC,21.94,T66-T67,110.2463791,32.42,187,8.518768904,77.77809586,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77809586387683 8.51876890365626, 77.77838789171426 8.520035184389291)"
68,68,,T,"25°00'32""LT",HC,21.94,T67-T68,143.8023354,32.99,192,8.520035184,77.77838789,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77838789171426 8.520035184389291, 77.77775388455711 8.52261683965418)"
69,69,,S,,GC,23.62,T68-T69,294.1577274,30.42,191,8.52261684,77.77775388,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77775388455711 8.52261683965418, 77.77737166582315 8.524762452165918)"
70,70,,T,"39°10'40""RT",KC,24,T69-T70,241.1861314,37.07,187,8.524762452,77.77737167,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77737166582315 8.524762452165918, 77.7783010572695 8.526570482481203)"
71,71,,T,"52°50'58""LT",KC,24,T70-T71,224.7982331,38.26,189,8.526570482,77.77830106,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7783010572695 8.526570482481203, 77.77726840431133 8.528724052205217)"
72,72,,S,,GC,23.62,T71-T72,264.1227297,43.56,190,8.528724052,77.7772684,AVAILABLE,,ODAI(NALA),AGRI LAND,"DC LINE,ODAI(NALA),AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77726840431133 8.528724052205217, 77.77632661462734 8.53066904515491)"
73,73,,S,,GC,23.62,T72-T73,238.9776262,32.25,187,8.530669045,77.77632661,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77632661462734 8.53066904515491, 77.77537509928726 8.53269725840917)"
74,74,,S,,GC,23.62,T73-T74,247.7584816,33.24,191,8.532697258,77.7753751,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77537509928726 8.53269725840917, 77.77433171630238 8.534762263870284)"
75,75,,T,"11°49'23""RT",HC,21.94,T74-T75,255.8389083,34.24,193,8.534762264,77.77433172,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77433171630238 8.534762263870284, 77.77374665851151 8.537110731874161)"
