S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
71,50/35,T,DC+3,29,34-35,313,3.59,"=IF(H76>15,0)",209.180480999999,"51°16'12""L",10.08388888888889,78.11727777777777,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11727777777777 10.08388888888889, 78.11883333333333 10.086194444444445)"
72,50/36,T,DC+3,29,35-36,307,2.9,"=IF(H77>15,0)",211.581329,"45°14'24""R",10.086194444444445,78.11883333333333,GOOD,Available,3-LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11883333333333 10.086194444444445, 78.11830555555555 10.088722222222223)"
73,50/37,S,DA,26,36-37,290,7.96,"=IF(H78>15,0)",215.024734,,10.088722222222223,78.11830555555555,GOOD,Available,"2-LT , 110 KV",,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11830555555555 10.088722222222223, 78.11777777777777 10.091277777777778)"
74,50/38,T,DB,25,37-38,290,5.01,"=IF(H79>15,0)",218.67775,"27°7'48""L",10.091277777777778,78.11777777777777,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11777777777777 10.091277777777778, 78.11847222222221 10.093833333333334)"
75,50/39,S,DA,26,38-39,295,7.06,"=IF(H80>15,0)",221.570877,,10.093833333333334,78.11847222222221,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11847222222221 10.093833333333334, 78.11930555555556 10.096416666666666)"
76,50/40,T,DB,25,39-40,300.6184729051703,3.36,"=IF(H81>15,0)",222.710281,"10°51'0""R",10.096416666666666,78.11930555555556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11930555555556 10.096416666666666, 78.11963888888889 10.099166666666667)"
77,50/41,T,DC,26,40-41,311,1.56,"=IF(H82>15,0)",224.020676,"32°18'0""R",10.099166666666667,78.11963888888889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11963888888889 10.099166666666667, 78.11872222222222 10.101027777777777)"
78,50/42,T,DC,26,41-42,226.84945838433825,1.1,"=IF(H83>15,0)",225.69162,"31°30'0""L",10.101027777777777,78.11872222222222,GOOD,NO E/W,230KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11872222222222 10.101027777777777, 78.11897222222221 10.103722222222222)"
79,50/43,S,DA+3,29,42-43,302,4.47,"=IF(H84>15,0)",230.012222,,10.103722222222222,78.11897222222221,GOOD,Available,"LT,HT",Palamedu Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11897222222221 10.103722222222222, 78.11938888888888 10.106416666666666)"
80,50/44,T,DB,25,43-44,305,5.71,"=IF(H85>15,0)",231.073028999999,"24°50'24""L",10.106416666666666,78.11938888888888,GOOD,Available,HT,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11938888888888 10.106416666666666, 78.12058333333333 10.108194444444445)"
81,50/45,S,DA,26,44-45,234.8857972630013,4.36,"=IF(H86>15,0)",229.865982,,10.108194444444445,78.12058333333333,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12058333333333 10.108194444444445, 78.12158333333333 10.10975)"
82,50/46,S,DA,26,45-46,206,3.07,"=IF(H87>15,0)",232.163971,,10.10975,78.12158333333333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12158333333333 10.10975, 78.12277777777777 10.111527777777777)"
83,50/47,T,DB,25,46-47,237.1303150019652,2.25,"=IF(H88>15,0)",235.315566999999,"28°38'60""L",10.111527777777777,78.12277777777777,GOOD,Available,2-LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12277777777777 10.111527777777777, 78.12438888888889 10.112388888888889)"
