S.No,Tower No.,Join Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
45,45,,S,DA,26,44-45,268.3629999,1.62,FALSE,39.10173,,9.344527778,78.42255556,GOOD,Available,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42255555555556 9.344527777777778, 78.4226388888889 9.342222222222222)"
46,46,,S,DA,26,45-46,255.9532815,4.15,FALSE,38.425095,,9.342222222,78.42263889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4226388888889 9.342222222222222, 78.42277777777778 9.340416666666668)"
47,47,,T,DC,26,46-47,201.0536847,1.85,FALSE,36.060066,"22°13'12""R",9.340416667,78.42277778,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42277777777778 9.340416666666668, 78.42344444444446 9.339111111111112)"
48,48,,T,DC,26,47-48,161.0293616,1.67,FALSE,34.248367,"11°51'36""R",9.339111111,78.42344444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42344444444446 9.339111111111112, 78.42530555555555 9.336833333333335)"
49,49,,S,DA,26,48-49,325.5175532,1.08,FALSE,33.386688,,9.336833333,78.42530556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42530555555555 9.336833333333335, 78.42669444444445 9.335166666666668)"
50,50,,S,DA,26,49-50,238.5681881,4.32,FALSE,31.9496,,9.335166667,78.42669444,GOOD,Available,220KV (UP Line ),,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42669444444445 9.335166666666668, 78.42769444444446 9.333916666666667)"
51,51,2W,T,DC,26,50-51,176.8431432,2.36,FALSE,32.294704,"29°19'12""L",9.333916667,78.42769444,GOOD,Available,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42769444444446 9.333916666666667, 78.42808333333333 9.331194444444444)"
52,52,,S,DA,26,51-52,302.2325295,1.2,FALSE,30.196606,,9.331194444,78.42808333,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42808333333333 9.331194444444444, 78.42833333333334 9.328944444444444)"
53,53,,S,DA,26,52-53,251.5460484,0.55,FALSE,29.513527,,9.328944444,78.42833333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42833333333334 9.328944444444444, 78.4286388888889 9.32638888888889)"
54,54,,S,DA,26,53-54,285.6896466,2.81,FALSE,29.262276,,9.326388889,78.42863889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4286388888889 9.32638888888889, 78.42891666666667 9.323833333333333)"
55,55,,S,DA,26,54-55,284.4478454,3.72,FALSE,28.742119,,9.323833333,78.42891667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42891666666667 9.323833333333333, 78.42919444444445 9.321388888888889)"
56,56,,S,DA+3,29,55-56,271.542983,1.66,FALSE,27.681925,,9.321388889,78.42919444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42919444444445 9.321388888888889, 78.42933333333333 9.32)"
57,57,,T,DB,25,56-57,154.3329485,1.31,FALSE,26.143913,"5°0'36""R",9.32,78.42933333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42933333333333 9.32, 78.42977777777779 9.317805555555555)"
