S. No ,Tower No,Supspension / Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
41,40,S,DA+0,28,T 39-T  40,282,11.26,"=IF(H46>15,0)",113.887299,,9.75617292283949,78.03812597326991,Good,Good,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03812597326991 9.75617292283949, 78.04011801636635 9.754365868500107)"
42,41,S,DA+0,28,T 40-T  41,299,4.07,"=IF(H47>15,0)",110.65638,,9.754365868500107,78.04011801636635,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04011801636635 9.754365868500107, 78.04199003061018 9.752665934873203)"
43,42,S,DA+0,28,T 41-T  42,281,8.75,"=IF(H48>15,0)",111.250076,,9.752665934873203,78.04199003061018,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04199003061018 9.752665934873203, 78.04374997880917 9.75105786689497)"
44,43,S,DA+0,28,T 42-T  43,265,2.19,"=IF(H49>15,0)",111.803566,,9.75105786689497,78.04374997880917,Good,Good,"11KV,LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04374997880917 9.75105786689497, 78.04570698555067 9.749273862785422)"
45,44,S,DA+0,28,T 43-T  44,294,6.99,"=IF(H50>15,0)",109.599853999999,,9.749273862785422,78.04570698555067,Good,Good,LT,Near By Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04570698555067 9.749273862785422, 78.04759400340109 9.747566888360186)"
46,45,T,DC+0,26,T 44-T  45,283,0.62,"=IF(H51>15,0)",110.259995,12°28'31''RT,9.747566888360186,78.04759400340109,Good,Good,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04759400340109 9.747566888360186, 78.04903703184316 9.745534863699396)"
47,46,S,DA+0,28,T 45-T  46,278,7.92,"=IF(H52>15,0)",110.054824999999,,9.745534863699396,78.04903703184316,Good,Good,3 LT LINES,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04903703184316 9.745534863699396, 78.05040797591845 9.743591938663243)"
48,47,S,DA+0,28,T 46-T  47,265,7.43,"=IF(H53>15,0)",110.463371,,9.743591938663243,78.05040797591845,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05040797591845 9.743591938663243, 78.05300997010569 9.73994790648413)"
49,48,S,DA+0,28,T 47-T  48,239,1.05,"=IF(H54>15,0)",110.070877,,9.73994790648413,78.05300997010569,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05300997010569 9.73994790648413, 78.05161597579682 9.741886892024606)"
50,48,S,DA+0,28,T 48-T  49,266,7.76,"=IF(H55>15,0)",109.234543,,9.741886892024606,78.05161597579682,Good,Good,"11KV,LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05161597579682 9.741886892024606, 78.0543089974521 9.738060888735665)"
