S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
166,163,S,SA,26,"=B170&"" - "" &B171",280.1343521792004,0.51,"=IF(H171>15,0)",16.499043,,9.44475,78.85094444444444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85094444444444 9.44475, 78.84944444444444 9.4425)"
167,164,S,SA,26,"=B171&"" - "" &B172",298.31712833616587,0.78,"=IF(H172>15,0)",16.969128,,9.4425,78.84944444444444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84944444444444 9.4425, 78.84822222222222 9.44063888888889)"
168,165,S,SA,26,"=B172&"" - "" &B173",245.58639132031067,1.16,"=IF(H173>15,0)",18.033245,,9.44063888888889,78.84822222222222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84822222222222 9.44063888888889, 78.84688888888888 9.438638888888889)"
169,166,T,SC,26,"=B173&"" - "" &B174",265.78692133957543,1.59,"=IF(H174>15,0)",17.136137,"33°41'60""L",9.438638888888889,78.84688888888888,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84688888888888 9.438638888888889, 78.84691666666666 9.436694444444445)"
170,167,T,SB,25,"=B174&"" - "" &B175",212.88013560846656,4.76,"=IF(H175>15,0)",17.705534,"22°16'12""R",9.436694444444445,78.84691666666666,GOOD,Available,,Therkuvaayal road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84691666666666 9.436694444444445, 78.84608333333333 9.434611111111112)"
171,168,S,SA,26,"=B175&"" - "" &B176",249.4722827444053,4.11,"=IF(H176>15,0)",18.5546,,9.434611111111112,78.84608333333333,GOOD,Available,,River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84608333333333 9.434611111111112, 78.84522222222222 9.4325)"
172,169,S,SA,26,"=B176&"" - "" &B177",251.50769513628174,1.79,"=IF(H177>15,0)",16.458843,,9.4325,78.84522222222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84522222222222 9.4325, 78.84436111111111 9.430416666666666)"
173,170,S,SA,26,"=B177&"" - "" &B178",250.04000387966195,2.05,"=IF(H178>15,0)",15.805807,,9.430416666666666,78.84436111111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84436111111111 9.430416666666666, 78.84352777777778 9.428305555555555)"
174,171,S,SA,26,"=B178&"" - "" &B179",250.05040235580734,7.24,"=IF(H179>15,0)",15.954788,,9.428305555555555,78.84352777777778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84352777777778 9.428305555555555, 78.84272222222222 9.426222222222222)"
175,172,T,SB,25,"=B179&"" - "" &B180",247.52836925819196,3.64,"=IF(H180>15,0)",16.3799969999999,"0°26'24""L",9.426222222222222,78.84272222222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84272222222222 9.426222222222222, 78.84194444444444 9.424138888888889)"
176,173,S,SA,26,"=B180&"" - "" &B181",245.9866514707186,4.37,"=IF(H181>15,0)",16.087135,,9.424138888888889,78.84194444444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84194444444444 9.424138888888889, 78.84122222222221 9.421999999999999)"
177,174,S,SA,26,"=B181&"" - "" &B182",249.66279071268383,5.51,"=IF(H182>15,0)",16.3679349999999,,9.421999999999999,78.84122222222221,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84122222222221 9.421999999999999, 78.84044444444444 9.419749999999999)"
178,175,T,SB,25,"=B182&"" - "" &B183",262.1108222996897,4.06,"=IF(H183>15,0)",15.2970919999999,"7°16'48""L",9.419749999999999,78.84044444444444,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84044444444444 9.419749999999999, 78.84008333333333 9.418)"
179,176,T,SC,26,"=B183&"" - "" &B184",196.0482040862759,3.21,"=IF(H184>15,0)",14.987556,"37°2'60""L",9.418,78.84008333333333,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84008333333333 9.418, 78.84125 9.415611111111112)"
180,177,S,SA,26,"=B184&"" - "" &B185",295.9064117363545,5.72,"=IF(H185>15,0)",15.996202,,9.415611111111112,78.84125,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84125 9.415611111111112, 78.84244444444444 9.413166666666667)"
181,178,S,SA+3,29,"=B185&"" - "" &B186",300.2056864242572,2.2,"=IF(H186>15,0)",15.2714,,9.413166666666667,78.84244444444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84244444444444 9.413166666666667, 78.84363888888889 9.410722222222223)"
182,179,S,SA+3,29,"=B186&"" - "" &B187",301.6461987127988,4.06,"=IF(H187>15,0)",16.145996,,9.410722222222223,78.84363888888889,GOOD,Available,HT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84363888888889 9.410722222222223, 78.84483333333333 9.408222222222223)"
183,180,S,SA,26,"=B187&"" - "" &B188",303.366363731294,2.16,"=IF(H188>15,0)",15.796144,,9.408222222222223,78.84483333333333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84483333333333 9.408222222222223, 78.84602777777778 9.405861111111111)"
184,181,T,SB+3,28,"=B188&"" - "" &B189",292.79888861802254,4.51,"=IF(H189>15,0)",16.1949879999999,"4°0'0""R",9.405861111111111,78.84602777777778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84602777777778 9.405861111111111, 78.84680555555555 9.404)"
185,182,S,SA,26,"=B189&"" - "" &B190",222.33643404145917,4.29,"=IF(H190>15,0)",15.8489489999999,,9.404,78.84680555555555,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84680555555555 9.404, 78.84777777777778 9.401722222222222)"
186,183,S,SA,26,"=B190&"" - "" &B191",275.5075902108998,7.14,"=IF(H191>15,0)",16.3733669999999,,9.401722222222222,78.84777777777778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84777777777778 9.401722222222222, 78.84880555555556 9.39936111111111)"
187,184,S,SA+3,29,"=B191&"" - "" &B192",284.23620207524533,4.8,"=IF(H192>15,0)",16.291763,,9.39936111111111,78.84880555555556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84880555555556 9.39936111111111, 78.84988888888888 9.396749999999999)"
188,185,T,SC,25,"=B192&"" - "" &B193",310.1997780385077,5.66,"=IF(H193>15,0)",14.9612719999999,"0°23'60""L",9.396749999999999,78.84988888888888,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84988888888888 9.396749999999999, 78.85063888888888 9.394944444444445)"
189,186,T,SC,25,"=B193&"" - "" &B194",218.7521651448012,4.71,"=IF(H194>15,0)",15.308892,"10°2'24""L",9.394944444444445,78.85063888888888,GOOD,Available,230 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85063888888888 9.394944444444445, 78.85163888888889 9.393444444444444)"
190,187,T,SC+6,32,"=B194&"" - "" &B195",198.5050619086736,3.82,"=IF(H195>15,0)",15.006504,"0°47'24""L",9.393444444444444,78.85163888888889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85163888888889 9.393444444444444, 78.85241666666666 9.392249999999999)"
191,188,T,SC+6,32,"=B195&"" - "" &B196",158.67182178391818,5.07,"=IF(H196>15,0)",13.766393,"16°55'48""R",9.392249999999999,78.85241666666666,GOOD,Available,"2-LT,2-HT",Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85241666666666 9.392249999999999, 78.85277777777777 9.391083333333333)"
192,189,T,SC+6,32,"=B196&"" - "" &B197",132.5437532418936,4.07,"=IF(H197>15,0)",13.728249,"29°33'0""L",9.391083333333333,78.85277777777777,GOOD,Available,,Ramnad NH Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85277777777777 9.391083333333333, 78.85383333333333 9.390083333333333)"
193,190,T,SC,26,"=B197&"" - "" &B198",161.48371318256616,3.97,"=IF(H198>15,0)",14.1892429999999,"31°33'0""L",9.390083333333333,78.85383333333333,GOOD,Available,2-HT,Palangulam Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85383333333333 9.390083333333333, 78.85644444444443 9.389527777777777)"
194,191,T,SC,25,"=B198&"" - "" &B199",293.70450338472176,2.34,"=IF(H199>15,0)",14.991802,"2°0'0""R",9.389527777777777,78.85644444444443,GOOD,Available,HT,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85644444444443 9.389527777777777, 78.85825 9.389055555555554)"
195,192,S,SA,26,"=B199&"" - "" &B200",203.27887224850187,1.19,"=IF(H200>15,0)",13.999863,,9.389055555555554,78.85825,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85825 9.389055555555554, 78.86005555555555 9.388583333333333)"
196,193,T,SB,25,"=B200&"" - "" &B201",206.5006704260007,5.52,"=IF(H201>15,0)",14.535778,"3°34'48""R",9.388583333333333,78.86005555555555,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86005555555555 9.388583333333333, 78.86269444444444 9.387722222222221)"
197,194,S,SA,26,"=B201&"" - "" &B202",304.77541481440943,5.1,"=IF(H202>15,0)",15.2942769999999,,9.387722222222221,78.86269444444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86269444444444 9.387722222222221, 78.86524999999999 9.386888888888889)"
198,194A,S,SA,26,"=B202&"" - "" &B203",296.3979937778739,6.17,"=IF(H203>15,0)",15.00827,,9.386888888888889,78.86524999999999,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86524999999999 9.386888888888889, 78.8671111111111 9.386277777777778)"
199,195,T,SB,25,"=B203&"" - "" &B204",213.92327688657207,5.2,"=IF(H204>15,0)",15.904385,"6°45'0""R",9.386277777777778,78.8671111111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8671111111111 9.386277777777778, 78.86955555555555 9.385166666666667)"
200,196,S,SA,26,"=B204&"" - "" &B205",297.2465491532306,2.72,"=IF(H205>15,0)",17.6254829999999,,9.385166666666667,78.86955555555555,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86955555555555 9.385166666666667, 78.872 9.384027777777778)"
201,197,S,SA,26,"=B205&"" - "" &B206",294.5298257196351,3.59,"=IF(H206>15,0)",16.620317,,9.384027777777778,78.872,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.872 9.384027777777778, 78.8743611111111 9.382944444444444)"
202,198,T,SC,26,"=B206&"" - "" &B207",286.34576509246085,4.72,"=IF(H207>15,0)",17.4283369999999,"32°11'60""L",9.382944444444444,78.8743611111111,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8743611111111 9.382944444444444, 78.87652777777777 9.383222222222223)"
203,199,S,SA,26,"=B207&"" - "" &B208",239.9247112939926,1.56,"=IF(H208>15,0)",15.75709,,9.383222222222223,78.87652777777777,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87652777777777 9.383222222222223, 78.87869444444443 9.383527777777777)"
204,200,T,SB,25,"=B208&"" - "" &B209",240.06272182289112,2.32,"=IF(H209>15,0)",15.5423639999999,"7°56'60""L",9.383527777777777,78.87869444444443,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87869444444443 9.383527777777777, 78.88116666666666 9.384194444444445)"
205,201,S,SA,26,"=B209&"" - "" &B210",281.8426050107544,0.38,"=IF(H210>15,0)",14.002907,,9.384194444444445,78.88116666666666,GOOD,Available,,Vaigai River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88116666666666 9.384194444444445, 78.88366666666667 9.384916666666665)"
206,202,T,SC,26,"=B210&"" - "" &B211",286.39025432453735,1.31,"=IF(H211>15,0)",13.73962,"52°56'46""R",9.384916666666665,78.88366666666667,GOOD,Available,,Vaigai River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88366666666667 9.384916666666665, 78.88594444444445 9.383222222222223)"
207,203,S,SA,26,"=B211&"" - "" &B212",313.05191397700844,1.05,"=IF(H212>15,0)",13.338638,,9.383222222222223,78.88594444444445,GOOD,Available,,Vaigai River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88594444444445 9.383222222222223, 78.88822222222223 9.3815)"
208,204,S,SA,26,"=B212&"" - "" &B213",312.7472134810252,1.27,"=IF(H213>15,0)",12.870539,,9.3815,78.88822222222223,GOOD,Available,,Vaigai River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88822222222223 9.3815, 78.89047222222223 9.379833333333334)"
209,205,S,SA,26,"=B213&"" - "" &B214",309.8758049098626,0.36,"=IF(H214>15,0)",12.6992259999999,,9.379833333333334,78.89047222222223,GOOD,Available,,Vaigai River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89047222222223 9.379833333333334, 78.89272222222223 9.37813888888889)"
210,206,T,SB,25,"=B214&"" - "" &B215",309.94310722930953,0.47,"=IF(H215>15,0)",12.495243,"11°58'48""L",9.37813888888889,78.89272222222223,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89272222222223 9.37813888888889, 78.89541666666668 9.376916666666666)"
211,207,S,SA,26,"=B215&"" - "" &B216",324.3807497644731,1.1,"=IF(H216>15,0)",11.589159,,9.376916666666666,78.89541666666668,GOOD,Available,,Vaigai River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89541666666668 9.376916666666666, 78.89805555555556 9.375694444444445)"
212,208,S,SA,26,"=B216&"" - "" &B217",318.78509070939026,0.3,"=IF(H217>15,0)",13.460163,,9.375694444444445,78.89805555555556,GOOD,Available,,Vaigai River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89805555555556 9.375694444444445, 78.90063888888889 9.374527777777779)"
213,209,S,SA,26,"=B217&"" - "" &B218",312.52594626589416,0.42,"=IF(H218>15,0)",12.4103759999999,,9.374527777777779,78.90063888888889,GOOD,Available,,Vaigai River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90063888888889 9.374527777777779, 78.90319444444445 9.373333333333333)"
214,210,S,SA,26,"=B218&"" - "" &B219",312.00829826437376,0.28,"=IF(H219>15,0)",12.1420499999999,,9.373333333333333,78.90319444444445,GOOD,Available,,Vaigai River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90319444444445 9.373333333333333, 78.90575000000001 9.372166666666667)"
215,211,T,SB,25,"=B219&"" - "" &B220",308.26339968860066,0.41,"=IF(H220>15,0)",12.20248,"18°38'24""R",9.372166666666667,78.90575000000001,GOOD,Available,,Vaigai River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90575000000001 9.372166666666667, 78.90775000000001 9.37025)"
216,212,S,SA,26,"=B220&"" - "" &B221",303.8708891283383,0.5,"=IF(H221>15,0)",11.29273,,9.37025,78.90775000000001,GOOD,Available,,Vaigai River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90775000000001 9.37025, 78.90950000000001 9.368555555555556)"
217,213,S,SA,26,"=B221&"" - "" &B222",270.05214515166557,1.07,"=IF(H222>15,0)",9.08988,,9.368555555555556,78.90950000000001,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90950000000001 9.368555555555556, 78.91133333333335 9.366833333333334)"
218,214,S,SA,26,"=B222&"" - "" &B223",277.0189849598952,1.65,"=IF(H223>15,0)",2.84765625,,9.366833333333334,78.91133333333335,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91133333333335 9.366833333333334, 78.9136388888889 9.364583333333332)"
219,215,S,SA,26,"=B223&"" - "" &B224",354.9050753362647,2.12,"=IF(H224>15,0)",12.585393,,9.364583333333332,78.9136388888889,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9136388888889 9.364583333333332, 78.91594444444445 9.362388888888889)"
220,216,T,SB,25,"=B224&"" - "" &B225",349.6268540167375,5.25,"=IF(H225>15,0)",13.1564859999999,"2°3'36""R",9.362388888888889,78.91594444444445,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91594444444445 9.362388888888889, 78.918 9.360555555555555)"
221,217,S,SA,26,"=B225&"" - "" &B226",304.09916888168635,3.07,"=IF(H226>15,0)",14.252689,,9.360555555555555,78.918,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.918 9.360555555555555, 78.92019444444445 9.358694444444444)"
222,218,S,SA,26,"=B226&"" - "" &B227",318.4879446230665,1.16,"=IF(H227>15,0)",15.1437139999999,,9.358694444444444,78.92019444444445,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92019444444445 9.358694444444444, 78.92230555555555 9.357)"
223,219,T,SB,25,"=B227&"" - "" &B228",297.33464905318743,3.74,"=IF(H228>15,0)",17.832304,"30°19'48""R",9.357,78.92230555555555,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92230555555555 9.357, 78.9231388888889 9.354777777777777)"
224,220,T,SB,25,"=B228&"" - "" &B229",262.0453065620334,1.11,"=IF(H229>15,0)",17.5493109999999,"6°41'24""R",9.354777777777777,78.9231388888889,GOOD,Available,LT,Valuthur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9231388888889 9.354777777777777, 78.92358333333334 9.353)"
225,221,T,SB,25,"=B229&"" - "" &B230",203.60085787453193,3.18,"=IF(H230>15,0)",21.0174869999999,"14°56'60""L",9.353,78.92358333333334,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92358333333334 9.353, 78.9243888888889 9.351583333333332)"
226,222,T,SC,26,"=B230&"" - "" &B231",178.75210055197732,4.62,"=IF(H231>15,0)",21.012014,"39°55'12""L",9.351583333333332,78.9243888888889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9243888888889 9.351583333333332, 78.92452777777778 9.351527777777777)"
227,223,T,SC,26,"=B231&"" - "" &B232",18.0166072505158,2.23,"=IF(H232>15,0)",20.233829,"87°31'48""L",9.351527777777777,78.92452777777778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92452777777778 9.351527777777777, 78.9246388888889 9.35175)"
228, Gantry (Valuthur SS),Gantry,Gantry,12,223 - Gantry,27.645680402599467,,,23.4789309999999,,9.35175,78.9246388888889,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G233),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
