S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
80,12,T,DC,26,11-12,283.84426594519533,3.37,62.457123,"6°10'32"" L",8.275080007,77.64081303,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64081303 8.275080007, 77.64356397 8.273834959)"
81,13,T,DC,26,12-13,333.0976120090633,2.66,61.955685,"18°10'53"" R",8.273834959,77.64356397,GOOD,Available,"HT-3NO,LT -2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64356397 8.273834959, 77.64507397 8.272451023)"
82,14,S,DA,26,13-14,226.20254559546117,1.23,64.409004,,8.272451023,77.64507397,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64507397 8.272451023, 77.64648004 8.271187032)"
83,15,T,DC,26,14-15,208.79360496374207,5.19,64.09536,"12°38'12"" R",8.271187032,77.64648004,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64648004 8.271187032, 77.64786104 8.269244023)"
84,16,S,DA,26,15-16,263.47042969180546,3.2,62.789711,,8.269244023,77.64786104,GOOD,Available,HT-2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64786104 8.269244023, 77.64929501 8.267219961)"
85,17,T,DC,26,16-17,274.16672313780606,2.61,63.097683,"22°14'16"" R",8.267219961,77.64929501,GOOD,Available,HT,SAND ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64929501 8.267219961, 77.64987504 8.264712011)"
86,18,S,DA,26,17-18,284.8245168362401,7.08,63.360039,,8.264712011,77.64987504,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64987504 8.264712011, 77.65045398 8.262215964)"
87,19,T,DC,26,18-19,283.51411320261633,2.43,64.014366,"6°47'53"" R",8.262215964,77.65045398,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65045398 8.262215964, 77.65068398 8.260111017)"
88,20,S,DA,26,19-20,234.32972004559616,4.07,63.021107,,8.260111017,77.65068398,GOOD,Available,"HT,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65068398 8.260111017, 77.65092798 8.257872965)"
89,21,S,DA,26,20-21,249.1409704871693,3.66,60.88475,,8.257872965,77.65092798,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65092798 8.257872965, 77.651163 8.255316988)"
