S. No ,Tower No,Joint Box,Supspension / Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain /Hilly / Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
61,59,,S,A+0,28,58-59,318,0.38,FALSE,88.268982,,10.00358595,78.63370897,GOOD,GOOD,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63370897391376 10.003585948482106, 78.63089097807438 10.004343923871366)"
62,60,,S,A+0,28,59-60,323,7.64,FALSE,88.532494,,10.00434392,78.63089098,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63089097807438 10.004343923871366, 78.62851202632196 10.005011961457647)"
63,61,2W,T,D+0,26,60-61,274,1.17,FALSE,88.558113,21°20'52''RT,10.00501196,78.62851203,GOOD,GOOD,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62851202632196 10.005011961457647, 78.62558397609425 10.00473091613094)"
64,62,,S,A+0,28,61-62,325,3.8,FALSE,90.834869,,10.00473092,78.62558398,GOOD,GOOD,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62558397609425 10.00473091613094, 78.62265098054367 10.004452888289816)"
65,63,,S,A+0,28,62-63,326,5.63,FALSE,90.366516,,10.00445289,78.62265098,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62265098054367 10.004452888289816, 78.61969703023527 10.004196904851705)"
66,64,,S,A+0,28,63-64,328,0.51,FALSE,41.645836,,10.0041969,78.61969703,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61969703023527 10.004196904851705, 78.61676403468478 10.003926923636175)"
67,65,,S,A+0,28,64-65,326,0.17,FALSE,60.230354,,10.00392692,78.61676403,GOOD,GOOD,2 LT LINES,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61676403468478 10.003926923636175, 78.61391100249038 10.003659959908871)"
68,66,,S,A+0,28,65-66,317,0.63,FALSE,69.085999,,10.00365996,78.613911,GOOD,GOOD,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61391100249038 10.003659959908871, 78.61098102442506 10.003377908751837)"
69,67,2W,T,D+0,26,66-67,325,0.29,FALSE,74.446747,54°30'39''RT,10.00337791,78.61098102,GOOD,GOOD,"LT, 11KV",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61098102442506 10.003377908751837, 78.60965903066024 10.001102892555336)"
70,68,,S,A+0,28,67-68,293,1.59,FALSE,82.54425,,10.00110289,78.60965903,GOOD,GOOD,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60965903066024 10.001102892555336, 78.60840501412999 9.99879392965298)"
71,69,2W,S,A+0,28,68-69,293,1.76,FALSE,85.212654,,9.99879393,78.60840501,GOOD,GOOD,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60840501412999 9.99879392965298, 78.60708897151646 9.996616897903893)"
72,70,,S,A+0,28,69-70,283,0.11,FALSE,87.437172,,9.996616898,78.60708897,GOOD,GOOD,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60708897151646 9.996616897903893, 78.60577301272185 9.994322938606174)"
73,71,,T,D+0,26,70-71,295,3.01,FALSE,88.6315,26°39'26''RT,9.994322939,78.60577301,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60577301272185 9.994322938606174, 78.60363101737184 9.992905893978612)"
74,72,,S,A+0,28,71-72,285,2.29,FALSE,90.422852,,9.992905894,78.60363102,GOOD,GOOD,"LT, 66KV ",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60363101737184 9.992905893978612, 78.60136304201757 9.991412909304472)"
75,73,,S,A+0,28,72-73,301,1.18,FALSE,93.003609,,9.991412909,78.60136304,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60136304201757 9.991412909304472, 78.59909003752132 9.98992696542769)"
76,74,,S,A+0,28,73-74,301,0.58,FALSE,92.515884,,9.989926965,78.59909004,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59909003752132 9.98992696542769, 78.59677403386203 9.988412942173765)"
77,75,,S,A+0,28,74-75,307,0.09,FALSE,95.980392,,9.988412942,78.59677403,GOOD,GOOD,2 LT LINES,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59677403386203 9.988412942173765, 78.59454696219512 9.986957927520939)"
78,76,,S,A+0,28,75-76,295,0.27,FALSE,93.657486,,9.986957928,78.59454696,GOOD,GOOD,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59454696219512 9.986957927520939, 78.59225903791139 9.985453962551848)"
79,77,,S,A+0,28,76-77,304,2.67,FALSE,94.705231,,9.985453963,78.59225904,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59225903791139 9.985453962551848, 78.59019197677567 9.984099949838123)"
80,78,2W,T,D+0,26,77-78,274,2.97,FALSE,95.005783,33°27'20''RT,9.98409995,78.59019198,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59019197677567 9.984099949838123, 78.58936803569611 9.982183930570626)"
81,79,,S,A+0,28,78-79,233,2.28,FALSE,94.493561,,9.982183931,78.58936804,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58936803569611 9.982183930570626, 78.58854401079752 9.980207896877209)"
82,80,,S,A+0,28,79-80,239,2.59,FALSE,93.854797,,9.980207897,78.58854401,GOOD,GOOD,"11KV, LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58854401079752 9.980207896877209, 78.58764697952253 9.978045952569126)"
83,81,,T,D+0,26,80-81,261,1.26,FALSE,93.076324,40°44'33''RT,9.978045953,78.58764698,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58764697952253 9.978045952569126, 78.58540800555322 9.976919927612936)"
