S. No ,Tower No,SUSPENTION/TENTION,Circuit,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of Tower  (Missing  parts, broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
55,T.NO 54,T,SB,27,"=B60&""-""&B61",258.7991499213241,5.79,215,"0°14'29.46""",9.14311111111111,77.3936666666666,GOOD,GOOD,NO,"LT, 2nos 33KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3936666666666 9.14311111111111, 77.3954444444444 9.14461111111111)"
56,T.NO 55,S,SA,26,"=B61&""-""&B62",253.91730937452846,4.07,209,,9.14461111111111,77.3954444444444,GOOD,GOOD,NO,"2nos LT,11KV",TAAR ROAD,CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3954444444444 9.14461111111111, 77.3971666666666 9.14605555555555)"
57,T.NO 56,S,SA,26,"=B62&""-""&B63",249.57964660604839,4.28,214,,9.14605555555555,77.3971666666666,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3971666666666 9.14605555555555, 77.3985833333333 9.14725)"
58,T.NO 57,S,SA,26,"=B63&""-""&B64",204.35263639111682,3.63,212,,9.14725,77.3985833333333,GOOD,GOOD,NO,LT,CANAL,CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3985833333333 9.14725, 77.4004444444444 9.14883333333333)"
59,T.NO 58,S,SA,29,"=B64&""-""&B65",269.4290259047826,5.88,218,,9.14883333333333,77.4004444444444,GOOD,GOOD,NO,,NALA,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4004444444444 9.14883333333333, 77.4021666666666 9.15027777777777)"
60,T.NO 59,S,SA,26,"=B65&""-""&B66",248.16929705344293,5.24,219,,9.15027777777777,77.4021666666666,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4021666666666 9.15027777777777, 77.4035833333333 9.15144444444444)"
61,T.NO 60,T,SB,24,"=B66&""-""&B67",200.7710138441304,5.74,217,"0°37'36.31""",9.15144444444444,77.4035833333333,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4035833333333 9.15144444444444, 77.4053888888889 9.15297222222222)"
62,LILO 37 PULIYANGUDI 110KV,LILO,DB,24,"=B67&""-""&B68",262.2746651889961,1.77,215,,9.15297222222222,77.4053888888889,GOOD,GOOD,NO,,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4053888888889 9.15297222222222, 77.40447222222222 9.153944444444445)"
63,T.NO-38,DB,T,24,"=B68&""-""&B69",35.608987629529715,2.3,214,"6°33'57.54""",9.153944444444445,77.40447222222222,GOOD,MISSING,YES,400KV DC LINE CROSSING ABOVE OUR LINE,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40447222222222 9.153944444444445, 77.40427777777778 9.154194444444444)"
64,T.NO-39,DP TOWER,DP TOWER,20,"=B69&""-""&B70",40.22437072223753,DP TOWER,211,,9.154194444444444,77.40427777777778,GOOD,MISSING,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40427777777778 9.154194444444444, 77.40397222222222 9.154416666666666)"
65,T.NO-40,DB,T,24,"=B70&""-""&B71",270.20732780589054,1.58,213,"8°37'30.45""",9.154416666666666,77.40397222222222,GOOD,GOOD,YES,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40397222222222 9.154416666666666, 77.40219444444445 9.15611111111111)"
66,T.NO-41,DA,S,26,"=B71&""-""&B72",245.41597340026587,1.92,212,,9.15611111111111,77.40219444444445,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40219444444445 9.15611111111111, 77.40061111111112 9.15763888888889)"
