S.No,Tower No.,Joint Box,Tower Model,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle (Degrees),Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
191,420,,PA,S,A+0,24,423-424,312,1.09,FALSE,263.5251465,,10.38288457,77.88429441,Good,Good,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8842944093048 10.3828845731914, 77.8835518565028 10.3802975825965)"
192,421,2W,PB,T,B+0,22,424-425,303,2.95,FALSE,274.8205566,8°28'34''LT,10.38029758,77.88355186,Good,Good,"LT,22KV",THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8835518565028 10.3802975825965, 77.8832118865102 10.3777016233652)"
193,422,,PA,S,A+0,24,425-426,296,3.24,FALSE,283.2319336,,10.37770162,77.88321189,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8832118865102 10.3777016233652, 77.8827787935733 10.3750243596732)"
194,423,,PA,S,A+0,24,426-427,306,4.26,FALSE,280.8287354,,10.37502436,77.88277879,Good,Good,LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8827787935733 10.3750243596732, 77.8824034519493 10.3725128900259)"
195,424,,PA,S,A+0,24,427-428,287,2.23,FALSE,283.9528809,,10.37251289,77.88240345,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8824034519493 10.3725128900259, 77.8819913137704 10.3697316069155)"
196,425,,PA,S,A+0,24,428-429,317,1.82,FALSE,283.47229,,10.36973161,77.88199131,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8819913137704 10.3697316069155, 77.8816158883273 10.3670717775821)"
197,426,,PA,S,A+0,24,429-430,303,2.47,FALSE,278.9061279,,10.36707178,77.88161589,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8816158883273 10.3670717775821, 77.8811884112656 10.3648051433265)"
198,427,,PA+3,S,A+3,27,430-431,261,2.95,FALSE,276,,10.36480514,77.88118841,Good,Good,LT,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8811884112656 10.3648051433265, 77.8808441665023 10.361706437543)"
199,428,2W,PB,T,B+0,22,431-432,351,4.03,FALSE,272.8979492,8°20'22''RT,10.36170644,77.88084417,Good,Good,"22KV,2-LT",THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8808441665023 10.361706437543, 77.8801736142486 10.3591605182737)"
200,429,,PA,S,A+0,24,432-433,297,3.12,FALSE,272.6575928,,10.35916052,77.88017361,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8801736142486 10.3591605182737, 77.8795833606272 10.3564835898578)"
201,430,,PA,S,A+0,24,433-434,309,5.89,FALSE,277.4641113,,10.35648359,77.87958336,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8795833606272 10.3564835898578, 77.8789782710373 10.353902131319)"
202,431,,PA+3,S,A+3,27,434-435,299,5.12,FALSE,278.6657715,,10.35390213,77.87897827,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8789782710373 10.353902131319, 77.8783541545271 10.3512575570493)"
203,432,,PB,T,B+0,22,435-436,306,4.32,FALSE,278.1850586,5°32'44''RT,10.35125756,77.87835415,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8783541545271 10.3512575570493, 77.877706233412 10.3486253879964)"
204,433,,PA+3,S,A+3,27,436-437,306,3.97,FALSE,276.0220947,,10.34862539,77.87770623,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.877706233412 10.3486253879964, 77.8771793469786 10.3465291578322)"
205,434,,PA,S,A+0,24,437-438,245,2.98,FALSE,286.1159668,,10.34652916,77.87717935,Good,Good,,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8771793469786 10.3465291578322, 77.8765771072357 10.3440563287585)"
206,435,,PA,S,A+0,24,438-439,287,4.13,FALSE,296.6903076,,10.34405633,77.87657711,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8765771072357 10.3440563287585, 77.875938322395 10.3413322940468)"
207,436,,PA,S,A+0,24,439-440,315,4.07,FALSE,288.2789307,,10.34133229,77.87593832,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.875938322395 10.3413322940468, 77.8752614837139 10.3386231791228)"
208,437,,PA,S,A+0,24,440-441,315,4,FALSE,291.6434326,,10.33862318,77.87526148,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8752614837139 10.3386231791228, 77.8746164124459 10.3359314985573)"
209,438,,PB,T,B+0,22,441-442,312,5.23,FALSE,292.1241455,15°33'35''RT,10.3359315,77.87461641,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8746164124459 10.3359314985573, 77.8732261899858 10.3334387205541)"
210,439,,PA,S,A+0,24,442-443,321,5.01,FALSE,297.1708984,,10.33343872,77.87322619,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8732261899858 10.3334387205541, 77.8718613646924 10.3308949805796)"
211,440,,PA,S,A+0,24,443-444,324,4.72,FALSE,297.8919678,,10.33089498,77.87186136,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8718613646924 10.3308949805796, 77.8705153148621 10.3284363169223)"
212,441,,PA,S,A+0,24,444-445,315,4.09,FALSE,298.612915,,10.32843632,77.87051531,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8705153148621 10.3284363169223, 77.8692180477082 10.3261003643274)"
213,442,2W,PC,T,D+0,24,445-446,300,3.98,FALSE,306.0631104,35°26'38''RT,10.32610036,77.86921805,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8692180477082 10.3261003643274, 77.8694414254277 10.3239034675061)"
214,443,,PA,S,A+0,24,446-447,250,3.73,FALSE,310.1486816,,10.32390347,77.86944143,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8694414254277 10.3239034675061, 77.8696257434785 10.3219243325293)"
215,444,,PA,S,A+0,24,447-448,225,3.76,FALSE,282.0302734,,10.32192433,77.86962574,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8696257434785 10.3219243325293, 77.8698756918311 10.3195934090763)"
216,445,,PA,S,A+0,24,448-449,265,2.98,FALSE,280.107666,,10.31959341,77.86987569,Good,Good,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8698756918311 10.3195934090763, 77.8700911067426 10.317526012659)"
217,446,,PA+3,S,A+3,27,449-450,236,3.05,FALSE,280.3480225,,10.31752601,77.87009111,Good,Good,"22KV,LT",THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8700911067426 10.317526012659, 77.8704081103205 10.3148682788014)"
218,447,,PB,T,B+0,22,450-451,302,4.34,FALSE,281.0689697,1°16'4''RT,10.31486828,77.87040811,Good,Good,"2-22KV,LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8704081103205 10.3148682788014, 77.87063148804 10.3125577233731)"
219,448,,PA,S,A+0,24,451-452,263,4,FALSE,280.3480225,,10.31255772,77.87063149,Good,Good,2-LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87063148804 10.3125577233731, 77.8707930073142 10.3106127027422)"
220,449,,PA,S,A+0,24,452-453,221,4.1,FALSE,278.425415,,10.3106127,77.87079301,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8707930073142 10.3106127027422, 77.8710494097322 10.3084597270935)"
221,450,,PA,S,A+0,24,453-454,246,4.07,FALSE,288.5192871,,10.30845973,77.87104941,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8710494097322 10.3084597270935, 77.8712380863726 10.3063292149454)"
222,451,,PA,S,A+0,24,454-455,242,3.26,FALSE,282.5109863,,10.30632921,77.87123809,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8712380863726 10.3063292149454, 77.8715199697762 10.3039516881108)"
223,452,,PB,T,B+0,22,455-456,271,3.98,FALSE,282.5109863,1°4'23''RT,10.30395169,77.87151997,Good,Good,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8715199697762 10.3039516881108, 77.87173865363 10.3017523605376)"
224,453,,PA,S,A+0,24,456-457,250,3.01,FALSE,288.7595215,,10.30175236,77.87173865,Good,Good,"2-22KV, LT",THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87173865363 10.3017523605376, 77.8719622828066 10.299869198352)"
225,454,,PA+3,S,A+3,27,457-458,215,4.9,FALSE,271.9366455,,10.2998692,77.87196228,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8719622828066 10.299869198352, 77.8721876721829 10.2973329182714)"
226,455,,PA,S,A+0,24,458-459,288,4.52,FALSE,280.5883789,,10.29733292,77.87218767,Good,Good,LT,MUD ROAD,CANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8721876721829 10.2973329182714, 77.8724434878677 10.2949501108378)"
227,456,,PA,S,A+0,24,459-460,271,4.17,FALSE,290.4418945,,10.29495011,77.87244349,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8724434878677 10.2949501108378, 77.8726604115217 10.2927943691611)"
228,457,,PB,T,B+0,22,460-461,245,4.97,FALSE,284.4337158,8°9'25''LT,10.29279437,77.87266041,Good,Good,22KV,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8726604115217 10.2927943691611, 77.8733315505087 10.2900980785489)"
229,458,,PB,T,B+0,22,461-SEMPATTY GANTRY ,313,4.35,0,277.7044678,3°28'49''RT,10.29009808,77.87333155,Good,Good,LT,,AGRI,INSIDE FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8733315505087 10.2900980785489, 77.8736743703484 10.2882423251867)"
230,459,,PC,T,D+0,24,SEMPATTY GANTRY -,214,4.07,FALSE,288.7595215,44°17'14''LT,10.28824233,77.87367437,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8736743703484 10.2882423251867, 77.8730352502316 10.2867758274078)"
231,460,,PA,S,A+0,24,-,182,3.83,FALSE,297.4112549,,10.28677583,77.87303525,Good,Good,LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8730352502316 10.2867758274078, 77.8723534662276 10.2850820962339)"
232,461,,PC,T,B+0,22,-,207,4.54,FALSE,290.9224854,4°11'28''RT,10.2850821,77.87235347,Good,Good,"22KV, LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8723534662276 10.2850820962339, 77.8722116444259 10.2847931720316)"
233,SEMPATTY GANTRY ,2W,,T,BAY,12,-,40,NIL,,282.7513428,21°13'46''LT,10.28479317,77.87221164,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,TOTAL KM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
