SL.NO,TOWER NO,TOWER S / T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
53,53,T,"2°55'40""LT",HCR,21.94,T52-T53,267.21154391417934,35.89,14,8.46686640205056,78.0604335665702,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0604335665702 8.46686640205056, 78.0624623224139 8.46578431790786)"
54,54,S,,GCR,23.62,T53-T54,253.6594661273199,35.910000000000004,11,8.46578431790786,78.0624623224139,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0624623224139 8.46578431790786, 78.0644609034061 8.46481896230984)"
55,55,T,"3°35'31""RT",HCR,21.94,T54-T55,244.82274703346533,35.88,11,8.46481896230984,78.0644609034061,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0644609034061 8.46481896230984, 78.0661771818995 8.46352695391549)"
56,56,S,,GCR,23.62,T55-T56,237.13950813809367,35.870000000000005,7,8.46352695391549,78.0661771818995,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0661771818995 8.46352695391549, 78.0682216957211 8.46221537525137)"
57,57,S,,GCR,23.62,T56-T57,268.05709375617,35.89,10,8.46221537525137,78.0682216957211,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0682216957211 8.46221537525137, 78.0703999847173 8.46131600444286)"
58,58,T,"30°48'8""RT",KCR,24,T57-T58,259.9019022823817,35.86,10,8.46131600444286,78.0703999847173,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0703999847173 8.46131600444286, 78.0713561922311 8.45893723812212)"
59,59,S,,GCR,23.62,T58-T59,283.6273630187667,35.88,6,8.45893723812212,78.0713561922311,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0713561922311 8.45893723812212, 78.0728612467646 8.45628519316633)"
60,60,S,,GCR,23.62,T59-T60,337.1944324525414,35.9,7,8.45628519316633,78.0728612467646,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0728612467646 8.45628519316633, 78.073871769011 8.45496397251203)"
61,61,T,"32°51'56""RT",KCR,24,T60-T61,183.8328032561555,35.89,6,8.45496397251203,78.073871769011,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.073871769011 8.45496397251203, 78.0736997723579 8.45269261648021)"
62,62,T,"4°35'31""LT",HCR,21.94,T61-T62,252.14419818226833,35.870000000000005,5,8.45269261648021,78.0736997723579,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0736997723579 8.45269261648021, 78.0737101659178 8.45057512621776)"
63,63,T,"21°11'52""RT",HCR,21.94,T62-T63,234.40080679257684,40.010000000000005,6,8.45057512621776,78.0737101659178,AVAILABLE,,,PLAIN LAND,"DC LINE,PLIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0737101659178 8.45057512621776, 78.0730047449469 8.44873752657643)"
64,64,T,"25°12'35""RT",KCR,24,T63-T64,217.7680231370057,40.18,5,8.44873752657643,78.0730047449469,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0730047449469 8.44873752657643, 78.073034 8.448796)"
, GANTRY UPCIL,,,,,T64 - Gantry (UPCIL),45.49155812892497,,5,8.448796,78.073034,AVAILABLE,,,,UPCIL GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H6:H70)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
