,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
52,T.NO-50,,DA,S,32,49-50,306.740933,2.76,179,,9.05349217,77.31723076,GOOD,GOOD,LT,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31723076 9.05349217, 77.31880175 9.0560219)"
53,T.NO-51,,DB,T,30,50-51,328.9407241,4.99,181,"5°59'5.11""",9.0560219,77.31880175,GOOD,GOOD,LT,RIVER CROSSING,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31880175 9.0560219, 77.32003648 9.05857182)"
54,T.NO-52,,DB,T,24,51-52,313.1213822,3.3,183,"7°6'13.29""",9.05857182,77.32003648,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32003648 9.05857182, 77.32147825 9.06079505)"
55,T.NO-53 LILO 110KV KADAYANALLUR,3W,DD,T,28,52-53,292.6738799,8.6,193,"80°51'4.05""",9.06079505,77.32147825,GOOD,GOOD,,"NALA,2nos TAAR ROAD",HILLY ROCK,NEED 3WAY JUNCTION BOX.2EARTH WIRE ON THIS TOWER.ONE IS CONTINUE TO OUR T.NO-54.ANOTHER EARTH WIRE CONNECT TO PULIYANKUDI TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32147825 9.06079505, 77.32415302 9.05963025)"
56,T.NO-54,,DD,T,28,53-54,321.1759642,9.47,195,"33°27'41.10""",9.05963025,77.32415302,GOOD,GOOD,,,HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32415302 9.05963025, 77.32618286 9.05997886)"
57,T.NO-55,,DA,S,26,54-55,226.5590431,7.88,189,,9.05997886,77.32618286,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32618286 9.05997886, 77.32794192 9.06063648)"
58,T.NO-56,,DA,S,26,55-56,206.7002661,6.11,203,,9.06063648,77.32794192,GOOD,GOOD,2nos 11KV,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32794192 9.06063648, 77.33001495 9.06063232)"
59,T.NO-57,,DC,T,26,56-57,228.002193,6.76,200,"19°4'9.30""",9.06063232,77.33001495,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33001495 9.06063232, 77.33230216 9.06141308)"
60,T.NO-58,,DA,S,26,57-58,265.9793225,7.06,201,,9.06141308,77.33230216,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33230216 9.06141308, 77.33493529 9.06225488)"
61,T.NO-59,,DA,S,26,58-59,304.2137406,8.13,198,,9.06225488,77.33493529,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33493529 9.06225488, 77.33730446 9.06305316)"
62,T.NO-60,,DB,T,24,59-60,275.1363298,5.24,198,"7°35'0.12""",9.06305316,77.33730446,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33730446 9.06305316, 77.33980803 9.06354327)"
63,T.NO-61,,DA,S,26,60-61,280.6439025,5.69,200,,9.06354327,77.33980803,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33980803 9.06354327, 77.34254852 9.06411318)"
64,T.NO-62,,DA,S,26,61-62,307.9383055,6.38,195,,9.06411318,77.34254852,GOOD,GOOD,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34254852 9.06411318, 77.3452889 9.064665)"
65,T.NO-63,,DD,T,28,62-63,307.5223569,4.18,194,"99°45'44.93""",9.064665,77.3452889,GOOD,GOOD,"11KV,LT",TAAR ROAD,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3452889 9.064665, 77.34496693 9.0654895)"
66,T.NO-64,,DB,T,24,63-64,97.86214794,3.96,194,"9°14'41.58""",9.0654895,77.34496693,GOOD,GOOD,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34496693 9.0654895, 77.34490516 9.06577911)"
67,GANTRY 11KV  KADAYANALLUR,2W,GANTRY,GANTRY,20,64-GANTRY,32.75667871,,197,,9.06577911,77.34490516,GOOD,MISSING,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
