SL.NO,TOWER NO,Joint Box,TOWER    T/ S,DEVIATION OF  ANGLE   ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA                          (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
115,115,,S,,GC,23.62,T114-T115,223.3922383,39.84,50,8.320104408,77.69070547,AVAILABLE,,,PLAIN LAND,"Dc line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69070547443705 8.320104407888453, 77.6928968316866 8.320936371936115)"
116,116,,S,,GC+3,26.62,T115-T116,258.5122085,48.91,51,8.320936372,77.69289683,AVAILABLE,110KV LINE,,AGRI LAND,"Dc line 110KV line ,  Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6928968316866 8.320936371936115, 77.6949091667236 8.321662177307598)"
117,117,,S,,GC,23.62,T116-T117,235.9205923,38.65,51,8.321662177,77.69490917,AVAILABLE,"33KV LINE,11KV LINE,LT LINE",ROAD,PLAIN LAND,"Dc line ,  33kv Line,11kv Line,lt Line,Road ,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6949091667236 8.321662177307598, 77.6972027866066 8.322507411540876)"
118,118,,S,,GC,23.62,T117-T118,269.5815623,36.47,48,8.322507412,77.69720279,AVAILABLE,,,AGRI LAND,"Dc line ,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6972027866066 8.322507411540876, 77.69961040108271 8.323368224098363)"
119,119,,S,,GC,23.62,T118-T119,281.9782011,31.88,48,8.323368224,77.6996104,AVAILABLE,LT LINE,,AGRI LAND,"Dc line Agri land, lt Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69961040108271 8.323368224098363, 77.70173874238269 8.324187247399731)"
120,120,2W,T,"00°17'05""LT",HC+3,24.94,T119-T120,251.5138708,35.43,46,8.324187247,77.70173874,AVAILABLE,"110KV LINE,33KV LINE",,AGRI LAND,"Dc line  Agri land 110KV line ,33kv Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70173874238269 8.324187247399731, 77.70371720271248 8.324911394194839)"
121,121,,S,,GC,23.62,T120-T121,232.3497419,39.2,44,8.324911394,77.7037172,AVAILABLE,33KV LINE-2NOS,MAIN ROAD,PLAIN LAND,"Dc line   33kv Line, main road, 33kv Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70371720271248 8.324911394194839, 77.70599674585787 8.325740360794915)"
122,122,,S,,GC,23.62,T121-T122,267.5039577,46.58,43,8.325740361,77.70599675,AVAILABLE,,,PLAIN LAND,"Dc line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70599674585787 8.325740360794915, 77.70847409996006 8.32667447758979)"
123,123,,S,,GC,23.62,T122-T123,291.9983378,38.36,44,8.326674478,77.7084741,AVAILABLE,,,PLAIN LAND,"Dc line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70847409996006 8.32667447758979, 77.7105658915457 8.327461317031872)"
124,124,,S,,GC,23.62,T123-T124,246.4789945,34.42,44,8.327461317,77.71056589,AVAILABLE,,,AGRI LAND,Dc line  Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7105658915457 8.327461317031872, 77.71279849036078 8.328140664760042)"
