S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
178,172,T,DC+0,22,T172-T172,246,3.65,"=IF(H183>15,0)",281.235294117647,"27°27'48"" RT",10.246305555555555,77.82694444444444,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82694444444444 10.246305555555555, 77.82933333333332 10.24775)"
179,173,S,DA+0,24,T172-T173,309,3.45,"=IF(H184>15,0)",281.649509803922,,10.24775,77.82933333333332,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82933333333332 10.24775, 77.83152777777778 10.249055555555556)"
180,174,S,DA+0,24,T173-T174,285,3.25,"=IF(H185>15,0)",282.063725490196,,10.249055555555556,77.83152777777778,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83152777777778 10.249055555555556, 77.83408333333333 10.250583333333333)"
181,175,S,DA+0,24,T174-T175,330,3.78,"=IF(H186>15,0)",282.477941176471,,10.250583333333333,77.83408333333333,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83408333333333 10.250583333333333, 77.83641666666666 10.252027777777778)"
182,176,S,DA+0,24,T175-T176,306,3.48,"=IF(H187>15,0)",282.892156862745,,10.252027777777778,77.83641666666666,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83641666666666 10.252027777777778, 77.83897222222221 10.253527777777778)"
183,177,S,DA+0,24,T176-T177,328,3.65,"=IF(H188>15,0)",283.30637254902,,10.253527777777778,77.83897222222221,Good,Good,"Lt,22Kv",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83897222222221 10.253527777777778, 77.84127777777778 10.254916666666666)"
184,178,S,DA+0,24,T177-T178,299,2.95,"=IF(H189>15,0)",283.720588235294,,10.254916666666666,77.84127777777778,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84127777777778 10.254916666666666, 77.84375 10.256388888888889)"
185,179,S,DA+0,24,T178-T179,323,2.5,"=IF(H190>15,0)",284.134803921569,,10.256388888888889,77.84375,Good,Good,"Lt,",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84375 10.256388888888889, 77.84613888888889 10.257833333333334)"
186,180,S,DA+0,24,T179-T180,308,2.98,"=IF(H191>15,0)",284.549019607843,,10.257833333333334,77.84613888888889,Good,Good,22Kv,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84613888888889 10.257833333333334, 77.84863888888889 10.259305555555555)"
187,181,S,DA+0,24,T180-T181,325,2.68,"=IF(H192>15,0)",284.963235294118,,10.259305555555555,77.84863888888889,NO E/W,Good,,"400Kv,Our line passing Below",Plain,E/W NOT AVAILABE MAY BE AFFECT CLEARENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84863888888889 10.259305555555555, 77.85074999999999 10.26061111111111)"
188,182,S,DA+0,24,T181-T182,277,3.9,"=IF(H193>15,0)",285.377450980392,,10.26061111111111,77.85074999999999,Good,Good,Lt,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85074999999999 10.26061111111111, 77.85322222222221 10.262083333333333)"
189,183,S,DA+0,24,T182-T183,318,3.4,"=IF(H194>15,0)",285.791666666667,,10.262083333333333,77.85322222222221,Good,Good,22Kv,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85322222222221 10.262083333333333, 77.85577777777777 10.263638888888888)"
190,184,S,DA+0,24,T183-T184,334,3.1,"=IF(H195>15,0)",286.205882352941,,10.263638888888888,77.85577777777777,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85577777777777 10.263638888888888, 77.85844444444444 10.265222222222222)"
191,185,S,DA+0,24,T184-T185,345,2.98,"=IF(H196>15,0)",286.620098039216,,10.265222222222222,77.85844444444444,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85844444444444 10.265222222222222, 77.86091666666665 10.266666666666667)"
192,186,T,DB+0,22,T185-T186,320,3.5,"=IF(H197>15,0)",287.03431372549,"05°36'22"" RT",10.266666666666667,77.86091666666665,NO E/W,Good,"Lt,230Kv-No;150-151","230Kv,Our line passing Below",Plain,E/W NOT AVAILABE MAY BE AFFECT CLEARENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86091666666665 10.266666666666667, 77.86280555555555 10.268055555555556)"
193,187,S,DA+0,24,T186-T187,263,3.65,"=IF(H198>15,0)",287.448529411765,,10.268055555555556,77.86280555555555,Good,Good,",33Kv",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86280555555555 10.268055555555556, 77.86475 10.269388888888889)"
194,188,S,DA+0,24,T187-T188,262,3.45,"=IF(H199>15,0)",293,,10.269388888888889,77.86475,NO E/W,Good,22Kv,"230KV LINE ,our Line passing below, Road",Plain,E/W NOT AVAILABE MAY BE AFFECT CLEARENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86475 10.269388888888889, 77.86675 10.270777777777779)"
195,189,T,DD+0,24,T188-T189,273,NA,"=IF(H200>15,0)",289,"51°32'23"" LT",10.270777777777779,77.86675,Good,Good,"Lt,22Kv",Lake,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86675 10.270777777777779, 77.86683333333333 10.272055555555557)"
196,190,S,DA+0,24,T189-T190,146,NA,"=IF(H201>15,0)",291,,10.272055555555557,77.86683333333333,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86683333333333 10.272055555555557, 77.86699999999999 10.273750000000001)"
197,191,T,DB+0,22,T190-T191,193,NA,"=IF(H202>15,0)",283,"09°03'55"" LT",10.273750000000001,77.86699999999999,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86699999999999 10.273750000000001, 77.86677777777777 10.27563888888889)"
198,192,T,DB+0,22,T191-T192,214,NA,"=IF(H203>15,0)",289,"03°38'25"" RT",10.27563888888889,77.86677777777777,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86677777777777 10.27563888888889, 77.86655555555555 10.277555555555557)"
199,193,T,DC+0,22,T192-T193,218,NA,"=IF(H204>15,0)",284,"15°26'19"" LT",10.277555555555557,77.86655555555555,NO E/W,Good,,"230KV, our Line passing below",Plain,E/W NOT AVAILABE MAY BE AFFECT CLEARENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86655555555555 10.277555555555557, 77.86669444444443 10.27827777777778)"
200,194,S,DA+0,24,T193-194,90,NA,"=IF(H205>15,0)",288,,10.27827777777778,77.86669444444443,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86669444444443 10.27827777777778, 77.86677777777777 10.278694444444445)"
201,195,S,DA+0,24,T194-T195,49,NA,"=IF(H206>15,0)",294,,10.278694444444445,77.86677777777777,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86677777777777 10.278694444444445, 77.86688888888888 10.279361111111111)"
202,196,T,DB+0,22,T195-T196,76,NA,"=IF(H207>15,0)",293,"13°07'44"" LT",10.279361111111111,77.86688888888888,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86688888888888 10.279361111111111, 77.86694444444444 10.281472222222224)"
203,197,S,DA+0,24,T196-T197,237,NA,"=IF(H208>15,0)",290,,10.281472222222224,77.86694444444444,Good,Good,nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86694444444444 10.281472222222224, 77.86705555555555 10.283722222222222)"
204,198,S,DA+0,24,T197-T198,252,NA,"=IF(H209>15,0)",289,,10.283722222222222,77.86705555555555,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86705555555555 10.283722222222222, 77.86708333333333 10.28575)"
205,199,T,DD+0,24,T198-T199,229,NA,"=IF(H210>15,0)",297,"68°41'16"" RT",10.28575,77.86708333333333,Good,Good,"33Kv,Lt",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86708333333333 10.28575, 77.86955555555555 10.28663888888889)"
206,200,T,DC+0,22,T199-T200,294,NA,"=IF(H211>15,0)",291,"26°55'07"" RT",10.28663888888889,77.86955555555555,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86955555555555 10.28663888888889, 77.87161111111111 10.286416666666666)"
207,201,T,DD+0,24,T200-T201,229,NA,"=IF(H212>15,0)",301,"71°44'23"" RT",10.286416666666666,77.87161111111111,Good,Good,Lt,"Road,Well",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87161111111111 10.286416666666666, 77.8718611111111 10.285194444444445)"
208,202,T,DD+0,24,T201-T202,374,NA,"=IF(H213>15,0)",292,"50°01'23"" RT",10.285194444444445,77.8718611111111,Good,Good,"33Kv,Lt",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8718611111111 10.285194444444445, 77.87141666666666 10.284722222222221)"
209,203,T,DD+0,24,T202-T203,75,NA,"=IF(H214>15,0)",293,"27°13'42"" RT",10.284722222222221,77.87141666666666,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87141666666666 10.284722222222221, 77.87151388888888 10.28476388888889)"
210,Sempatty GANTRY,,BAY,12,T203-GANTRY,16,NA,"=IF(H215>15,0)",293,,10.28476388888889,77.87151388888888,NO E/W,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL KM ,,,,,=SUM(G6:G215),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Theni,,Theni Gan to T98,29616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sembatty,,,=G216-G217,29351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
