SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVIATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
63,61,,S,,PA,20.9,T60-T61,293.5001084,39.43,35,8.979459574,78.0573393,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0573393031954 8.97945957371403, 78.0560488253831 8.98189397491436)"
64,62,,S,,PA,20.9,T61-T62,304.6266611,39.53,34,8.981893975,78.05604883,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0560488253831 8.98189397491436, 78.0549803003668 8.98423132909516)"
65,63,,S,,PA,20.9,T62-T63,284.2192692,42.78,37,8.984231329,78.0549803,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0549803003668 8.98423132909516, 78.0538199096918 8.98656436311287)"
66,64,,S,,PA,20.9,T63-T64,288.1213314,39.94,37,8.986564363,78.05381991,AVAILABLE,4OOKV LINE,,PLAIN LAND,"sc line, 400kv dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0538199096918 8.98656436311287, 78.0525210499763 8.98891228423837)"
67,65,2W,T,"05°41'29""LT",PB,20.85,T64-T65,296.6348859,47.4,37,8.988912284,78.05252105,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0525210499763 8.98891228423837, 78.051476329565 8.99131251283848)"
68,66,,S,,PA,20.9,T65-T66,289.543816,39.36,38,8.991312513,78.05147633,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.051476329565 8.99131251283848, 78.0502720177173 8.99369716128693)"
69,67,,S,,PA,20.9,T66-T67,295.3663543,38.62,41,8.993697161,78.05027202,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0502720177173 8.99369716128693, 78.0491578951478 8.99600794714428)"
70,68,,S,,PA,20.9,T67-T68,283.6773348,42.95,41,8.996007947,78.0491579,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0491578951478 8.99600794714428, 78.0481141805648 8.99823361272351)"
71,69,,S,,PA,20.9,T68-T69,271.8454485,38.51,42,8.998233613,78.04811418,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0481141805648 8.99823361272351, 78.0468833819031 9.00066093362769)"
72,70,,S,,PA,20.9,T69-T70,300.9200576,79.9,44,9.000660934,78.04688338,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0468833819031 9.00066093362769, 78.0457317084074 9.00302664517651)"
73,71,,S,,PA,20.9,T70-T71,290.9486601,38.38,44,9.003026645,78.04573171,AVAILABLE,,,PLAIN LAND,"Sc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0457317084074 9.00302664517651, 78.044583722949 9.00538373152124)"
74,72,,S,,PA,20.9,T71-T72,289.9121389,39.52,45,9.005383732,78.04458372,AVAILABLE,,,PLAIN LAND,"Sc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.044583722949 9.00538373152124, 78.0434293672442 9.00773351739133)"
75,73,,S,,PA,20.9,T72-T73,289.4912656,38.7,42,9.007733517,78.04342937,AVAILABLE,110KV LINE,,PLAIN LAND,"Sc line .110kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0434293672442 9.00773351739133, 78.0425650253892 9.00945346089453)"
76,74,,S,,PA+3,23.9,T73-T74,212.8413794,39.64,41,9.009453461,78.04256503,AVAILABLE,LT LINE,"THAR ROAD, CANAL ",PLAIN LAND,"Sc line, thar road, LT line, canal, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0425650253892 9.00945346089453, 78.041798248887 9.01105650444798)"
77,75,,T,"10°44'93""LT",PB,20.85,T74-T75,196.5032258,40.69,42,9.011056504,78.04179825,AVAILABLE,,,PLAIN LAND,"Sc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.041798248887 9.01105650444798, 78.04138854146 9.0125784123823)"
78,76,3W,T(LILO),"90°77'46""LT",PC (LILO),21.65,T75-T76,174.4079868,39.98,41,9.012578412,78.04138854,AVAILABLE,,,PLAIN LAND,"Sc line, lilo, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04138854146 9.0125784123823, 78.0432684347033 9.01305160655825)"
